n_caps | min_Z | models | nodes
 0.071407 | [1012, 735] | [10, 6]
3 | 0.062844 | [1012, 735, 433] | [10, 6, 7]
4 | 0.054088 | [1012, 735, 433, 892] | [10, 6, 7, 16]
5 | 0.049411 | [1012, 735, 433, 893, 736] | [9, 5, 6, 16, 10]
6 | 0.047380 | [1012, 735, 433, 893, 736, 725] | [9, 5, 6, 14, 10, 15]
7 | 0.046158 | [1012, 735, 433, 892, 736, 725, 439] | [9, 5, 6, 14, 10, 15, 16]
8 | 0.043730 | [1012, 735, 433, 892, 735, 725, 439, 171] | [9, 5, 6, 14, 10, 15, 16, 7]
9 | 0.042696 | [1012, 735, 434, 892, 735, 725, 439, 171, 243] | [9, 5, 6, 14, 10, 15, 16, 7, 8]
10 | 0.042547 | [1012, 735, 434, 892, 735, 725, 439, 171, 243, 2798] | [9, 5, 6, 14, 10, 15, 16, 7, 8, 2]
11 | 0.042102 | [1012, 735, 434, 892, 736, 725, 439, 171, 243, 2798, 73] | [9, 5, 6, 14, 10, 15, 16, 7, 8, 2, 11]
12 | 0.041908 | [1012, 735, 434, 892, 736, 725, 439, 171, 243, 2798, 74, 32] | [9, 5, 6, 14, 10, 15, 16, 7, 8, 2, 11, 12]
