2026-01-17 10:54:16,971 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-17 10:55:02,482 INFO: n_caps=2 | minZ=0.068885 | models=[1012, 1169] | nodes=[9, 15]
2026-01-17 10:55:47,935 INFO: n_caps=3 | minZ=0.058447 | models=[1012, 1169, 766] | nodes=[9, 14, 10]
2026-01-17 10:56:33,843 INFO: n_caps=4 | minZ=0.052679 | models=[1012, 1170, 766, 344] | nodes=[9, 14, 10, 5]
2026-01-17 10:57:20,255 INFO: n_caps=5 | minZ=0.048405 | models=[1012, 1170, 766, 344, 448] | nodes=[9, 14, 10, 5, 6]
2026-01-17 10:58:16,870 INFO: n_caps=6 | minZ=0.045529 | models=[1012, 1170, 767, 344, 448, 343] | nodes=[9, 15, 10, 6, 5, 14]
2026-01-17 10:59:09,543 INFO: n_caps=7 | minZ=0.043012 | models=[1012, 1169, 764, 344, 448, 342, 243] | nodes=[9, 15, 10, 6, 5, 14, 7]
2026-01-17 11:00:01,327 INFO: n_caps=8 | minZ=0.042377 | models=[1012, 1169, 765, 344, 448, 342, 243, 197] | nodes=[10, 15, 9, 5, 6, 14, 7, 16]
2026-01-17 11:00:47,586 INFO: n_caps=9 | minZ=0.042097 | models=[1012, 1170, 764, 344, 447, 342, 243, 197, 189] | nodes=[10, 15, 9, 5, 6, 14, 7, 16, 8]
2026-01-17 11:01:38,393 INFO: n_caps=10 | minZ=0.042068 | models=[1012, 1170, 764, 344, 447, 342, 243, 197, 189, 1317] | nodes=[10, 15, 9, 5, 6, 14, 7, 16, 8, 2]
2026-01-17 11:02:32,173 INFO: n_caps=11 | minZ=0.041968 | models=[1012, 1169, 764, 343, 448, 342, 243, 196, 189, 1317, 3295] | nodes=[10, 15, 9, 5, 6, 14, 7, 16, 8, 2, 19]
2026-01-17 11:02:32,174 INFO: Threshold reached at n_caps=11
