n_caps | min_Z | models | nodes
0.068885 | [1012, 1169] | [9, 15]
3 | 0.058447 | [1012, 1169, 766] | [9, 14, 10]
4 | 0.052679 | [1012, 1170, 766, 344] | [9, 14, 10, 5]
5 | 0.048405 | [1012, 1170, 766, 344, 448] | [9, 14, 10, 5, 6]
6 | 0.045529 | [1012, 1170, 767, 344, 448, 343] | [9, 15, 10, 6, 5, 14]
7 | 0.043012 | [1012, 1169, 764, 344, 448, 342, 243] | [9, 15, 10, 6, 5, 14, 7]
8 | 0.042377 | [1012, 1169, 765, 344, 448, 342, 243, 197] | [10, 15, 9, 5, 6, 14, 7, 16]
9 | 0.042097 | [1012, 1170, 764, 344, 447, 342, 243, 197, 189] | [10, 15, 9, 5, 6, 14, 7, 16, 8]
10 | 0.042068 | [1012, 1170, 764, 344, 447, 342, 243, 197, 189, 1317] | [10, 15, 9, 5, 6, 14, 7, 16, 8, 2]
11 | 0.041968 | [1012, 1169, 764, 343, 448, 342, 243, 196, 189, 1317, 3295] | [10, 15, 9, 5, 6, 14, 7, 16, 8, 2, 19]
