2026-01-14 03:44:20,996 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-14 03:48:35,868 INFO: n_caps=2 | minZ=0.064766 | models=[1014, 1014] | nodes=[10, 9]
2026-01-14 03:52:59,723 INFO: n_caps=3 | minZ=0.053976 | models=[1014, 1014, 509] | nodes=[10, 9, 14]
2026-01-14 03:57:17,944 INFO: n_caps=4 | minZ=0.049857 | models=[1014, 1014, 509, 433] | nodes=[10, 9, 14, 15]
2026-01-14 04:01:37,770 INFO: n_caps=5 | minZ=0.047554 | models=[1014, 1014, 509, 433, 434] | nodes=[10, 9, 14, 15, 5]
2026-01-14 04:06:12,237 INFO: n_caps=6 | minZ=0.045091 | models=[1014, 1014, 509, 433, 434, 171] | nodes=[9, 10, 14, 15, 5, 7]
2026-01-14 04:10:38,035 INFO: n_caps=7 | minZ=0.043120 | models=[1014, 1014, 509, 433, 433, 171, 91] | nodes=[9, 10, 14, 15, 5, 7, 6]
2026-01-14 04:14:53,787 INFO: n_caps=8 | minZ=0.042188 | models=[1014, 1014, 509, 433, 433, 171, 91, 893] | nodes=[8, 9, 14, 15, 5, 7, 6, 10]
2026-01-14 04:19:24,310 INFO: n_caps=9 | minZ=0.040936 | models=[1014, 1014, 509, 433, 433, 171, 91, 893, 226] | nodes=[8, 9, 14, 15, 5, 7, 6, 10, 16]
2026-01-14 04:19:24,311 INFO: Threshold reached at n_caps=9
