n_caps | min_Z | models | nodes
 0.066996 | [1014, 1012] | [14, 10]
3 | 0.054444 | [1014, 1012, 510] | [14, 10, 16]
4 | 0.051605 | [1014, 1012, 510, 837] | [14, 10, 15, 9]
5 | 0.050191 | [1014, 1012, 510, 837, 1771] | [14, 9, 15, 10, 5]
6 | 0.045215 | [1014, 1012, 510, 837, 1771, 263] | [14, 9, 15, 10, 5, 7]
7 | 0.044549 | [1014, 1012, 510, 837, 1770, 263, 892] | [14, 9, 15, 10, 6, 7, 16]
8 | 0.043117 | [1014, 1012, 511, 838, 1770, 262, 893, 247] | [14, 9, 15, 10, 6, 7, 16, 5]
9 | 0.042897 | [1014, 1012, 511, 837, 1770, 262, 892, 247, 221] | [14, 9, 15, 8, 6, 7, 16, 5, 10]
10 | 0.042348 | [1014, 1012, 511, 837, 1770, 261, 893, 247, 222, 1198] | [14, 9, 15, 10, 6, 8, 16, 5, 7, 2]
11 | 0.042077 | [1014, 1012, 512, 837, 1770, 262, 893, 247, 222, 1198, 232] | [14, 9, 15, 10, 6, 8, 16, 5, 7, 2, 19]
12 | 0.041982 | [1014, 1012, 512, 838, 1770, 262, 893, 247, 221, 1197, 231, 643] | [14, 9, 16, 10, 6, 8, 15, 5, 7, 2, 19, 1]
