2026-01-10 12:32:55,799 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-10 12:33:29,340 INFO: n_caps=2 | minZ=0.069138 | models=[1014, 685] | nodes=[9, 10]
2026-01-10 12:33:58,558 INFO: n_caps=3 | minZ=0.058915 | models=[1014, 685, 1662] | nodes=[9, 10, 15]
2026-01-10 12:34:30,854 INFO: n_caps=4 | minZ=0.051768 | models=[1014, 685, 1662, 434] | nodes=[9, 10, 15, 6]
2026-01-10 12:35:02,710 INFO: n_caps=5 | minZ=0.047866 | models=[1014, 685, 1663, 434, 455] | nodes=[9, 10, 15, 6, 7]
2026-01-10 12:35:37,408 INFO: n_caps=6 | minZ=0.045391 | models=[1014, 686, 1662, 434, 455, 1511] | nodes=[9, 10, 14, 6, 5, 15]
2026-01-10 12:36:10,911 INFO: n_caps=7 | minZ=0.043154 | models=[1014, 686, 1662, 434, 455, 1511, 171] | nodes=[10, 9, 14, 6, 5, 16, 7]
2026-01-10 12:36:46,065 INFO: n_caps=8 | minZ=0.042109 | models=[1014, 686, 1662, 434, 455, 1511, 171, 893] | nodes=[10, 9, 14, 6, 5, 15, 7, 16]
2026-01-10 12:37:20,474 INFO: n_caps=9 | minZ=0.041528 | models=[1014, 686, 1663, 434, 456, 1511, 171, 893, 174] | nodes=[9, 10, 14, 6, 5, 16, 7, 15, 17]
2026-01-10 12:37:20,475 INFO: Threshold reached at n_caps=9
