n_caps | min_Z | models | nodes
0.071411 | [1014, 767] | [5, 16]
3 | 0.062871 | [1014, 766, 838] | [5, 15, 6]
4 | 0.056825 | [1014, 767, 838, 1014] | [5, 16, 7, 14]
5 | 0.051330 | [1014, 766, 838, 1014, 500] | [5, 15, 6, 14, 10]
6 | 0.047984 | [1014, 765, 838, 1014, 500, 164] | [5, 15, 6, 14, 10, 9]
7 | 0.045574 | [1014, 765, 838, 1014, 500, 164, 239] | [5, 16, 6, 14, 9, 8, 10]
8 | 0.043476 | [1014, 765, 838, 1014, 500, 164, 239, 247] | [5, 16, 6, 14, 10, 9, 11, 7]
9 | 0.042443 | [1014, 765, 838, 1014, 500, 164, 239, 247, 905] | [5, 16, 6, 14, 10, 7, 9, 8, 15]
10 | 0.042093 | [1014, 765, 838, 1014, 500, 164, 239, 246, 905, 247] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12]
11 | 0.042069 | [1014, 765, 838, 1014, 500, 164, 239, 246, 905, 247, 1024] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2]
12 | 0.042065 | [1014, 765, 838, 1014, 500, 164, 239, 246, 906, 247, 1024, 986] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 1]
13 | 0.042064 | [1014, 765, 838, 1014, 499, 164, 239, 246, 906, 247, 1024, 986, 1841] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 1, 20]
14 | 0.042059 | [1014, 765, 837, 1014, 499, 164, 239, 246, 905, 247, 1023, 986, 1840, 175] | [5, 15, 6, 14, 9, 7, 10, 8, 16, 12, 2, 3, 20, 1]
15 | 0.042048 | [1014, 765, 838, 1014, 499, 164, 239, 246, 906, 247, 1024, 987, 1841, 175, 2097] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 3, 20, 1, 18]
16 | 0.042044 | [1014, 765, 837, 1014, 499, 164, 239, 246, 905, 247, 1024, 987, 1840, 175, 2096, 50] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 3, 20, 1, 18, 13]
17 | 0.042044 | [1014, 765, 837, 1014, 499, 164, 239, 246, 905, 247, 1024, 987, 1840, 175, 2096, 50, 2402] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 3, 20, 1, 18, 13, 19]
18 | 0.042043 | [1014, 765, 837, 1014, 499, 164, 240, 246, 905, 247, 1024, 987, 1840, 175, 2096, 51, 2402, 1931] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 3, 20, 1, 18, 13, 19, 4]
19 | 0.042107 | [1014, 765, 837, 1014, 499, 164, 240, 246, 905, 247, 1024, 987, 1840, 175, 2096, 51, 2402, 1931, 3328] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 12, 2, 3, 20, 1, 18, 13, 19, 4, 17]
20 | 0.042138 | [1014, 765, 837, 1014, 500, 164, 240, 247, 905, 247, 1024, 987, 1841, 175, 2096, 51, 2402, 1931, 3328, 270] | [5, 16, 6, 14, 9, 7, 10, 8, 15, 13, 2, 3, 20, 1, 18, 12, 17, 4, 19, 11]
