2026-01-10 00:13:44,590 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-10 00:15:07,208 INFO: n_caps=2 | minZ=0.066703 | models=[1014, 1012] | nodes=[9, 5]
2026-01-10 00:16:28,180 INFO: n_caps=3 | minZ=0.053991 | models=[1014, 1012, 527] | nodes=[9, 5, 10]
2026-01-10 00:17:49,443 INFO: n_caps=4 | minZ=0.050198 | models=[1014, 1012, 527, 434] | nodes=[10, 5, 9, 6]
2026-01-10 00:19:13,740 INFO: n_caps=5 | minZ=0.047776 | models=[1014, 1012, 528, 434, 179] | nodes=[10, 5, 9, 6, 15]
2026-01-10 00:20:39,393 INFO: n_caps=6 | minZ=0.045045 | models=[1014, 1012, 527, 434, 179, 434] | nodes=[10, 5, 9, 6, 15, 14]
2026-01-10 00:22:03,257 INFO: n_caps=7 | minZ=0.043552 | models=[1014, 1012, 527, 434, 179, 434, 221] | nodes=[10, 6, 9, 5, 15, 14, 16]
2026-01-10 00:23:26,727 INFO: n_caps=8 | minZ=0.042320 | models=[1014, 1012, 527, 434, 179, 434, 221, 363] | nodes=[10, 6, 9, 5, 15, 14, 16, 7]
2026-01-10 00:24:51,460 INFO: n_caps=9 | minZ=0.042044 | models=[1014, 1012, 527, 434, 179, 434, 222, 362, 238] | nodes=[10, 6, 9, 5, 15, 14, 16, 7, 8]
2026-01-10 00:26:25,101 INFO: n_caps=10 | minZ=0.041284 | models=[1014, 1012, 527, 434, 179, 434, 222, 362, 238, 2194] | nodes=[10, 6, 9, 5, 15, 14, 16, 7, 8, 17]
2026-01-10 00:26:25,102 INFO: Threshold reached at n_caps=10
