n_caps | min_Z | models | nodes
.083239 | [973, 1345] | [9, 15]
3 | 0.066307 | [973, 1345, 1014] | [10, 14, 9]
4 | 0.058592 | [973, 1345, 1014, 618] | [10, 15, 9, 16]
5 | 0.053319 | [972, 1345, 1014, 618, 1677] | [10, 14, 9, 16, 7]
6 | 0.050719 | [971, 1345, 1014, 618, 1677, 362] | [9, 14, 10, 15, 7, 16]
7 | 0.049141 | [971, 1345, 1014, 617, 1677, 362, 547] | [9, 14, 10, 15, 7, 16, 5]
8 | 0.048200 | [971, 1345, 1014, 617, 1677, 362, 547, 398] | [8, 14, 9, 15, 7, 16, 5, 6]
9 | 0.047182 | [971, 1345, 1015, 618, 1677, 362, 547, 398, 1454] | [9, 14, 10, 16, 6, 15, 5, 7, 11]
10 | 0.047214 | [972, 1345, 1015, 618, 1677, 363, 547, 399, 1454, 1513] | [9, 14, 10, 16, 6, 15, 5, 7, 11, 12]
11 | 0.047154 | [972, 1345, 1015, 618, 1677, 363, 547, 399, 1454, 1513, 183] | [9, 14, 10, 16, 7, 15, 5, 6, 11, 12, 17]
12 | 0.046682 | [972, 1345, 1014, 618, 1677, 363, 546, 399, 1454, 1513, 183, 1126] | [8, 14, 9, 16, 6, 15, 5, 7, 11, 12, 17, 10]
13 | 0.046507 | [972, 1345, 1015, 618, 1677, 363, 546, 398, 1453, 1513, 183, 1126, 1191] | [8, 14, 9, 16, 7, 15, 5, 6, 11, 12, 17, 10, 2]
14 | 0.046491 | [972, 1345, 1015, 618, 1677, 363, 546, 398, 1453, 1513, 183, 1126, 1191, 2758] | [8, 14, 9, 16, 7, 15, 5, 6, 11, 12, 17, 10, 2, 1]
15 | 0.045781 | [971, 1345, 1014, 618, 1677, 363, 546, 398, 1453, 1513, 183, 1126, 1191, 2758, 899] | [8, 13, 9, 16, 6, 15, 5, 7, 11, 12, 17, 10, 2, 1, 14]
16 | 0.045331 | [971, 1345, 1014, 617, 1677, 363, 546, 399, 1453, 1513, 183, 1126, 1191, 2758, 899, 2779] | [8, 13, 9, 17, 6, 15, 5, 7, 12, 11, 16, 10, 2, 1, 14, 18]
17 | 0.045332 | [971, 1346, 1014, 617, 1677, 363, 546, 399, 1453, 1513, 183, 1126, 1191, 2757, 899, 2779, 786] | [8, 13, 9, 17, 6, 15, 5, 7, 12, 11, 16, 10, 2, 1, 14, 18, 19]
18 | 0.045332 | [971, 1346, 1014, 617, 1677, 363, 546, 399, 1453, 1513, 183, 1126, 1191, 2757, 899, 2779, 786, 29] | [8, 13, 9, 17, 6, 15, 5, 7, 12, 11, 16, 10, 2, 1, 14, 18, 19, 20]
19 | 0.045102 | [972, 1346, 1014, 615, 1677, 364, 547, 400, 1453, 1513, 183, 1126, 1191, 2758, 899, 2779, 786, 29, 6] | [8, 13, 9, 16, 6, 15, 5, 7, 12, 11, 17, 10, 2, 1, 14, 18, 19, 20, 3]
20 | 0.044975 | [972, 1346, 1014, 615, 1677, 363, 548, 400, 1452, 1513, 183, 1126, 1191, 2758, 898, 2779, 786, 29, 6, 1170] | [8, 12, 9, 17, 6, 14, 4, 7, 13, 11, 16, 10, 2, 1, 15, 18, 19, 20, 3, 5]
