2026-02-28 21:17:38,738 INFO: n_caps=1 | minZ=0.105470 | placement={14: 953}
2026-02-28 21:18:19,331 INFO: n_caps=2 | minZ=0.082500 | placement={0: 953, 20: 2421}
2026-02-28 21:19:00,263 INFO: n_caps=3 | minZ=0.066688 | placement={5: 1359, 0: 910, 7: 850}
2026-02-28 21:19:41,811 INFO: n_caps=4 | minZ=0.054795 | placement={0: 1343, 9: 898, 10: 916, 14: 1015}
2026-02-28 21:20:24,327 INFO: n_caps=5 | minZ=0.054459 | placement={9: 1321, 10: 900, 14: 814, 0: 898, 7: 0}
2026-02-28 21:21:07,946 INFO: n_caps=6 | minZ=0.049393 | placement={11: 1181, 14: 868, 0: 799, 7: 908, 9: 965, 10: 1934}
2026-02-28 21:21:52,372 INFO: n_caps=7 | minZ=0.045416 | placement={15: 733, 0: 1012, 3: 1164, 10: 980, 11: 943, 9: 1874, 17: 1880}
2026-02-28 21:22:38,455 INFO: n_caps=8 | minZ=0.047835 | placement={8: 1723, 4: 3347, 15: 2285, 5: 847, 12: 1720, 11: 917, 0: 1012, 7: 1265}
2026-02-28 21:23:25,811 INFO: n_caps=9 | minZ=0.054432 | placement={15: 870, 8: 3140, 5: 1160, 20: 1304, 0: 1290, 6: 844, 7: 76, 9: 3263, 16: 579}
2026-02-28 21:24:13,678 INFO: n_caps=10 | minZ=0.046428 | placement={15: 611, 4: 2968, 19: 215, 0: 686, 5: 1292, 7: 518, 9: 2008, 8: 3085, 6: 685, 10: 3037}
2026-02-28 21:25:02,709 INFO: n_caps=11 | minZ=0.050312 | placement={4: 611, 19: 2968, 0: 215, 5: 686, 7: 1292, 9: 518, 8: 2008, 6: 3085, 10: 685, 16: 3037, 14: 2515}
2026-02-28 21:25:52,042 INFO: n_caps=12 | minZ=0.040258 | placement={14: 1381, 8: 144, 0: 1012, 5: 1169, 12: 2709, 18: 349, 1: 1783, 6: 2348, 19: 3347, 7: 655, 17: 1519, 15: 2801}
