n_caps | min_Z | models | nodes
0.076229 | [874, 1014] | [15, 14]
3 | 0.063662 | [874, 1014, 899] | [15, 14, 16]
4 | 0.056789 | [874, 1014, 899, 767] | [15, 16, 14, 10]
5 | 0.051778 | [874, 1014, 898, 767, 434] | [15, 16, 14, 10, 6]
6 | 0.047920 | [874, 1014, 898, 766, 434, 342] | [15, 14, 16, 10, 6, 9]
7 | 0.045428 | [874, 1014, 898, 766, 433, 342, 413] | [15, 14, 16, 10, 5, 9, 6]
8 | 0.044433 | [873, 1014, 898, 765, 433, 342, 413, 225] | [15, 14, 16, 9, 5, 10, 6, 17]
9 | 0.043490 | [873, 1014, 898, 765, 433, 342, 413, 225, 181] | [15, 14, 16, 10, 5, 9, 6, 17, 7]
10 | 0.043413 | [873, 1014, 898, 765, 433, 342, 413, 225, 181, 1703] | [15, 14, 16, 10, 5, 9, 6, 17, 7, 2]
11 | 0.043120 | [873, 1014, 898, 765, 433, 342, 413, 224, 181, 1703, 174] | [15, 14, 16, 10, 5, 9, 6, 17, 7, 1, 11]
12 | 0.043029 | [873, 1014, 898, 765, 433, 342, 413, 224, 181, 1703, 174, 1975] | [15, 14, 16, 10, 5, 9, 6, 17, 7, 1, 11, 2]
13 | 0.042899 | [873, 1014, 898, 764, 433, 342, 413, 224, 180, 1702, 174, 1974, 283] | [16, 14, 15, 9, 5, 10, 6, 17, 7, 1, 11, 2, 18]
14 | 0.042677 | [873, 1014, 898, 764, 433, 342, 413, 224, 180, 1702, 174, 1974, 283, 63] | [16, 14, 15, 9, 5, 10, 6, 17, 7, 1, 11, 2, 18, 8]
15 | 0.042502 | [873, 1014, 898, 764, 433, 342, 413, 224, 179, 1703, 173, 1974, 283, 63, 2641] | [15, 14, 16, 9, 5, 10, 6, 17, 7, 13, 11, 1, 18, 8, 19]
16 | 0.042414 | [873, 1014, 898, 764, 433, 342, 413, 224, 179, 1703, 173, 1974, 283, 63, 2641, 2039] | [15, 14, 16, 9, 5, 10, 6, 17, 7, 13, 11, 1, 18, 8, 19, 2]
17 | 0.042275 | [872, 1014, 898, 764, 434, 342, 413, 224, 179, 1701, 173, 1975, 283, 63, 2641, 2039, 427] | [16, 14, 15, 9, 5, 10, 6, 17, 7, 13, 11, 1, 18, 8, 19, 2, 12]
18 | 0.041887 | [872, 1014, 898, 764, 434, 342, 413, 224, 179, 1701, 174, 1974, 283, 63, 2641, 2039, 427, 2291] | [17, 14, 15, 10, 5, 9, 6, 18, 7, 13, 11, 1, 16, 8, 19, 20, 12, 2]
