2026-02-27 04:07:09,384 INFO: n_caps=1 | minZ=0.132491 | ports=[15] | stage_time=17.173
2026-02-27 04:07:27,004 INFO: n_caps=2 | minZ=0.073926 | ports=[0, 0] | stage_time=17.620
2026-02-27 04:07:45,183 INFO: n_caps=3 | minZ=0.069847 | ports=[0, 0, 15] | stage_time=18.179
2026-02-27 04:08:03,745 INFO: n_caps=4 | minZ=0.077938 | ports=[0, 15, 14, 5] | stage_time=18.561
2026-02-27 04:08:22,864 INFO: n_caps=5 | minZ=0.073395 | ports=[0, 0, 14, 4, 0] | stage_time=19.119
2026-02-27 04:08:42,317 INFO: n_caps=6 | minZ=0.073355 | ports=[0, 14, 4, 0, 9, 14] | stage_time=19.453
2026-02-27 04:09:02,206 INFO: n_caps=7 | minZ=0.076795 | ports=[1, 14, 1, 16, 9, 10, 8] | stage_time=19.888
2026-02-27 04:09:22,557 INFO: n_caps=8 | minZ=0.063081 | ports=[14, 1, 16, 9, 10, 8, 0, 15] | stage_time=20.351
2026-02-27 04:09:43,381 INFO: n_caps=9 | minZ=0.057629 | ports=[7, 18, 0, 0, 0, 13, 7, 0, 13] | stage_time=20.823
