2026-01-15 16:39:38,989 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-15 16:43:01,600 INFO: n_caps=2 | minZ=0.064766 | models=[1012, 1014] | nodes=[9, 10]
2026-01-15 16:46:21,495 INFO: n_caps=3 | minZ=0.054175 | models=[1012, 1014, 500] | nodes=[9, 10, 5]
2026-01-15 16:49:44,875 INFO: n_caps=4 | minZ=0.050965 | models=[1012, 1014, 500, 433] | nodes=[9, 10, 5, 6]
2026-01-15 16:53:04,169 INFO: n_caps=5 | minZ=0.048005 | models=[1012, 1014, 500, 433, 433] | nodes=[9, 10, 5, 6, 14]
2026-01-15 16:56:23,490 INFO: n_caps=6 | minZ=0.045407 | models=[1012, 1014, 500, 434, 433, 171] | nodes=[9, 10, 5, 6, 14, 15]
2026-01-15 16:59:46,291 INFO: n_caps=7 | minZ=0.044089 | models=[1012, 1014, 500, 434, 433, 171, 91] | nodes=[10, 9, 5, 6, 14, 15, 7]
2026-01-15 17:03:10,343 INFO: n_caps=8 | minZ=0.042408 | models=[1012, 1014, 500, 434, 433, 171, 91, 189] | nodes=[10, 9, 5, 6, 14, 15, 7, 16]
2026-01-15 17:06:35,557 INFO: n_caps=9 | minZ=0.041864 | models=[1012, 1014, 498, 434, 433, 171, 92, 189, 394] | nodes=[10, 9, 5, 6, 14, 16, 7, 15, 8]
2026-01-15 17:06:35,558 INFO: Threshold reached at n_caps=9
