n_caps,min_impedance,time_sec,models,nodes
1,0.08736485068721798,2708.2308963290416,[1012],[9]
2,0.06887852320196249,2610.437801342923,"[1012, 1014]","[10, 16]"
3,0.06060478351074581,2615.692941437941,"[1012, 1014, 1169]","[10, 16, 14]"
4,0.05428126811237443,2622.081081870012,"[1012, 1014, 1169, 893]","[10, 16, 14, 9]"
5,0.04827863341340585,2620.2449821992777,"[1012, 1014, 1170, 892, 456]","[10, 16, 14, 9, 5]"
6,0.04450266762183483,2647.634215696249,"[1012, 1015, 1170, 892, 456, 433]","[10, 15, 14, 9, 5, 6]"
7,0.04248755422590901,2630.2556852931157,"[1012, 1015, 1170, 892, 456, 433, 171]","[9, 15, 14, 9, 5, 6, 15]"
8,0.04092536846458226,2628.3877050150186,"[1012, 1015, 1170, 892, 456, 433, 171, 183]","[9, 14, 14, 10, 5, 6, 15, 5]"
