n_caps | min_Z | models | nodes
1 | 0.087365 | [1012] | [9]
2 | 0.068879 | [1012, 1014] | [10, 16]
3 | 0.060605 | [1012, 1014, 1169] | [10, 16, 14]
4 | 0.054281 | [1012, 1014, 1169, 893] | [10, 16, 14, 9]
5 | 0.048279 | [1012, 1014, 1170, 892, 456] | [10, 16, 14, 9, 5]
6 | 0.044503 | [1012, 1015, 1170, 892, 456, 433] | [10, 15, 14, 9, 5, 6]
7 | 0.042488 | [1012, 1015, 1170, 892, 456, 433, 171] | [9, 15, 14, 9, 5, 6, 15]
8 | 0.040925 | [1012, 1015, 1170, 892, 456, 433, 171, 183] | [9, 14, 14, 10, 5, 6, 15, 5]
