n_caps | min_Z | models | nodes
 0.069737 | [1012, 1012] | [15, 14]
3 | 0.056729 | [1012, 1012, 509] | [16, 14, 5]
4 | 0.052632 | [1012, 1012, 509, 497] | [16, 14, 5, 7]
5 | 0.049968 | [1012, 1012, 509, 498, 362] | [16, 14, 5, 7, 10]
6 | 0.048335 | [1012, 1012, 509, 498, 362, 606] | [16, 14, 5, 7, 10, 9]
7 | 0.046138 | [1012, 1012, 509, 498, 362, 606, 225] | [16, 14, 5, 7, 10, 9, 6]
8 | 0.045235 | [1012, 1012, 509, 497, 362, 606, 226, 382] | [16, 14, 5, 7, 10, 9, 6, 15]
9 | 0.045110 | [1012, 1012, 509, 497, 362, 606, 225, 382, 527] | [16, 14, 5, 7, 10, 9, 6, 15, 2]
10 | 0.044491 | [1012, 1012, 509, 497, 362, 605, 225, 382, 527, 164] | [16, 14, 5, 7, 10, 9, 6, 15, 2, 11]
11 | 0.044151 | [1012, 1012, 509, 497, 362, 606, 225, 383, 527, 164, 46] | [15, 14, 5, 7, 9, 8, 6, 16, 2, 10, 11]
12 | 0.044097 | [1012, 1012, 509, 497, 362, 602, 225, 382, 527, 164, 46, 2216] | [15, 14, 5, 7, 9, 8, 6, 16, 1, 10, 11, 20]
13 | 0.043996 | [1012, 1012, 509, 498, 362, 602, 225, 382, 527, 164, 47, 2216, 2427] | [15, 14, 5, 7, 9, 8, 6, 16, 2, 10, 11, 20, 1]
14 | 0.043954 | [1012, 1012, 509, 498, 362, 602, 226, 382, 527, 164, 47, 2215, 2427, 50] | [15, 14, 5, 7, 9, 8, 6, 16, 2, 10, 11, 20, 1, 12]
15 | 0.043968 | [1012, 1012, 509, 498, 362, 602, 226, 382, 527, 164, 47, 2215, 2427, 50, 803] | [15, 14, 5, 7, 9, 8, 6, 16, 2, 10, 11, 20, 1, 12, 19]
16 | 0.043798 | [1012, 1012, 509, 498, 362, 602, 226, 383, 528, 164, 47, 2215, 2427, 50, 803, 263] | [15, 14, 5, 7, 9, 8, 6, 16, 2, 10, 11, 19, 1, 4, 20, 12]
17 | 0.043092 | [1012, 1012, 509, 498, 363, 602, 226, 383, 528, 164, 46, 2215, 2427, 50, 803, 263, 1860] | [15, 14, 5, 7, 9, 8, 6, 17, 12, 10, 11, 19, 1, 13, 18, 16, 20]
18 | 0.042895 | [1012, 1012, 509, 498, 363, 602, 226, 383, 528, 164, 47, 2215, 2426, 50, 802, 263, 1861, 1062] | [15, 14, 5, 7, 9, 8, 6, 17, 11, 10, 12, 19, 1, 13, 18, 16, 20, 2]
19 | 0.042837 | [1012, 1012, 509, 498, 363, 603, 226, 383, 527, 164, 47, 2215, 2426, 50, 802, 263, 1861, 1062, 1580] | [15, 14, 5, 8, 9, 7, 6, 17, 11, 10, 12, 19, 1, 13, 18, 16, 20, 2, 3]
20 | 0.042838 | [1012, 1012, 509, 498, 363, 603, 226, 383, 527, 164, 47, 2215, 2426, 50, 802, 263, 1861, 1062, 1580, 63] | [15, 14, 5, 8, 9, 7, 6, 17, 11, 10, 12, 19, 1, 13, 18, 16, 20, 2, 3, 4]
