2026-01-09 21:56:03,375 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-09 21:56:59,919 INFO: n_caps=2 | minZ=0.069971 | models=[1012, 1169] | nodes=[10, 9]
2026-01-09 21:57:55,070 INFO: n_caps=3 | minZ=0.059067 | models=[1012, 1169, 899] | nodes=[10, 9, 14]
2026-01-09 21:58:53,076 INFO: n_caps=4 | minZ=0.050448 | models=[1012, 1170, 892, 586] | nodes=[10, 9, 14, 5]
2026-01-09 21:59:43,147 INFO: n_caps=5 | minZ=0.047543 | models=[1012, 1170, 892, 586, 455] | nodes=[10, 9, 14, 5, 6]
2026-01-09 22:00:32,620 INFO: n_caps=6 | minZ=0.045673 | models=[1012, 1170, 892, 1390, 455, 1169] | nodes=[10, 9, 14, 5, 6, 15]
2026-01-09 22:01:27,766 INFO: n_caps=7 | minZ=0.043820 | models=[1012, 1169, 892, 1390, 455, 1169, 225] | nodes=[10, 9, 14, 5, 6, 15, 7]
2026-01-09 22:02:25,466 INFO: n_caps=8 | minZ=0.042220 | models=[1012, 1169, 892, 1390, 455, 1169, 225, 238] | nodes=[10, 9, 14, 5, 6, 15, 7, 16]
2026-01-09 22:03:24,934 INFO: n_caps=9 | minZ=0.041690 | models=[1012, 1170, 892, 1391, 455, 1169, 225, 238, 399] | nodes=[10, 9, 14, 5, 6, 15, 7, 16, 8]
2026-01-09 22:03:24,935 INFO: Threshold reached at n_caps=9
