n_caps | min_Z | models | nodes
0.070838 | [1012, 686] | [5, 15]
3 | 0.059405 | [1012, 686, 1014] | [5, 15, 14]
4 | 0.054299 | [1012, 686, 1014, 892] | [5, 15, 14, 6]
5 | 0.050533 | [1012, 686, 1014, 892, 343] | [5, 15, 14, 6, 9]
6 | 0.046056 | [1013, 686, 1014, 892, 344, 510] | [6, 15, 14, 5, 9, 10]
7 | 0.045185 | [1013, 686, 1014, 892, 344, 510, 212] | [6, 15, 14, 5, 9, 10, 7]
8 | 0.044120 | [1013, 686, 1014, 892, 344, 510, 211, 744] | [6, 15, 14, 5, 9, 10, 7, 16]
9 | 0.043271 | [1013, 686, 1014, 892, 344, 510, 211, 744, 261] | [6, 15, 14, 5, 9, 10, 7, 16, 8]
10 | 0.042485 | [1013, 686, 1014, 893, 344, 510, 211, 745, 262, 2994] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2]
11 | 0.042399 | [1013, 686, 1014, 893, 344, 510, 211, 745, 262, 2994, 34] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11]
12 | 0.042393 | [1013, 686, 1014, 893, 344, 510, 211, 745, 262, 2994, 34, 1168] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 1]
13 | 0.042261 | [1013, 685, 1014, 892, 343, 511, 211, 745, 262, 2994, 34, 1168, 62] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 1, 17]
14 | 0.042172 | [1013, 686, 1014, 893, 344, 511, 211, 743, 262, 2995, 34, 1169, 63, 1241] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 3, 17, 4]
15 | 0.042120 | [1013, 685, 1014, 893, 343, 510, 211, 743, 262, 2994, 34, 1169, 63, 1240, 2927] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 1, 17, 3, 4]
16 | 0.042122 | [1013, 686, 1014, 893, 343, 510, 211, 743, 262, 2994, 34, 1169, 63, 1241, 2927, 47] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 1, 17, 3, 4, 12]
17 | 0.042116 | [1013, 686, 1014, 893, 343, 510, 211, 743, 262, 2994, 34, 1169, 62, 1241, 2927, 47, 2345] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 2, 11, 1, 17, 3, 4, 12, 20]
18 | 0.042117 | [1013, 686, 1014, 893, 343, 510, 211, 743, 263, 2994, 34, 1169, 62, 1240, 2927, 47, 2345, 2631] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 3, 11, 1, 17, 2, 4, 12, 18, 19]
19 | 0.042116 | [1013, 686, 1014, 893, 343, 510, 211, 743, 263, 2994, 34, 1169, 62, 1240, 2927, 47, 2345, 2631, 1624] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 3, 11, 1, 17, 2, 4, 12, 18, 19, 20]
20 | 0.042176 | [1013, 686, 1014, 893, 343, 510, 211, 743, 263, 2994, 34, 1169, 62, 1240, 2927, 47, 2345, 2631, 1624, 3345] | [6, 14, 15, 5, 9, 10, 8, 16, 7, 3, 11, 1, 17, 2, 4, 12, 18, 19, 20, 13]
