n_caps | min_Z | models | nodes
0.069757 | [1012, 1169] | [9, 6]
3 | 0.058397 | [1012, 1169, 766] | [9, 6, 10]
4 | 0.053788 | [1012, 1169, 766, 595] | [9, 6, 10, 15]
5 | 0.049580 | [1012, 1169, 766, 595, 433] | [9, 6, 10, 15, 14]
6 | 0.046410 | [1012, 1169, 766, 596, 434, 893] | [9, 5, 10, 15, 14, 6]
7 | 0.044996 | [1012, 1168, 766, 596, 434, 893, 248] | [9, 6, 10, 15, 14, 5, 7]
8 | 0.042919 | [1012, 1169, 766, 595, 434, 892, 248, 787] | [9, 6, 10, 15, 14, 5, 7, 16]
9 | 0.042486 | [1014, 1169, 766, 596, 434, 892, 248, 787, 422] | [8, 6, 10, 15, 14, 5, 7, 16, 9]
10 | 0.042084 | [1014, 1169, 765, 595, 434, 892, 248, 787, 421, 2179] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 2]
11 | 0.042078 | [1014, 1169, 765, 595, 434, 892, 248, 787, 421, 2179, 974] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 1, 2]
12 | 0.042059 | [1014, 1169, 765, 595, 434, 892, 248, 787, 421, 2179, 974, 118] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 1, 2, 17]
13 | 0.042030 | [1014, 1169, 765, 595, 434, 892, 248, 787, 421, 2179, 974, 118, 2139] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 2, 17, 18]
14 | 0.042025 | [1014, 1169, 765, 595, 434, 892, 248, 787, 421, 2179, 974, 118, 2139, 2305] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 2, 17, 18, 19]
15 | 0.042021 | [1014, 1169, 765, 596, 434, 892, 248, 787, 421, 2179, 974, 118, 2139, 2305, 835] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 2, 17, 18, 19, 1]
16 | 0.042018 | [1014, 1169, 765, 596, 434, 892, 248, 787, 421, 2179, 974, 118, 2139, 2305, 835, 953] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 2, 17, 18, 19, 1, 20]
17 | 0.042017 | [1014, 1169, 765, 596, 434, 893, 248, 787, 421, 2179, 974, 118, 2139, 2306, 835, 953, 990] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 1, 17, 18, 19, 2, 20, 4]
18 | 0.042022 | [1014, 1169, 765, 596, 434, 893, 248, 787, 421, 2179, 974, 118, 2139, 2306, 835, 953, 990, 111] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 1, 17, 18, 19, 2, 20, 4, 11]
19 | 0.042039 | [1014, 1169, 765, 596, 434, 893, 248, 787, 421, 2179, 974, 118, 2139, 2306, 835, 953, 990, 111, 152] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 1, 17, 18, 19, 2, 20, 4, 11, 12]
20 | 0.042070 | [1014, 1169, 765, 596, 434, 893, 248, 787, 421, 2179, 974, 118, 2139, 2306, 835, 953, 990, 111, 152, 459] | [8, 6, 10, 15, 14, 5, 7, 16, 9, 3, 1, 17, 18, 19, 2, 20, 4, 11, 12, 13]
