n_caps | min_Z | models | nodes
0.071463 | [1012, 1416] | [9, 10]
3 | 0.060557 | [1012, 1414, 618] | [9, 10, 6]
4 | 0.053401 | [1012, 1415, 618, 899] | [9, 10, 5, 16]
5 | 0.050605 | [1012, 1415, 618, 899, 273] | [9, 10, 5, 16, 6]
6 | 0.048153 | [1012, 1415, 618, 899, 273, 273] | [9, 10, 5, 15, 6, 7]
7 | 0.046276 | [1012, 1415, 618, 899, 273, 273, 226] | [9, 10, 5, 15, 6, 7, 16]
8 | 0.045785 | [1012, 1413, 618, 899, 273, 273, 226, 1344] | [9, 10, 6, 15, 5, 7, 16, 14]
9 | 0.043682 | [1012, 1413, 618, 898, 273, 273, 226, 1344, 260] | [9, 8, 5, 15, 6, 7, 16, 14, 10]
10 | 0.043602 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 260, 2376] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2]
11 | 0.043285 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 260, 2376, 237] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 3, 12]
12 | 0.043053 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 260, 2376, 237, 3150] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1]
13 | 0.043163 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 260, 2376, 237, 3150, 2793] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4]
14 | 0.043200 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 260, 2376, 237, 3150, 2793, 2074] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3]
15 | 0.043201 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2375, 237, 3150, 2793, 2074, 135] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19]
16 | 0.043198 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2376, 237, 3150, 2793, 2074, 135, 249] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19, 18]
17 | 0.043132 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2376, 237, 3150, 2793, 2073, 135, 249, 32] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19, 20, 11]
18 | 0.043008 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2376, 237, 3150, 2793, 2073, 134, 249, 32, 62] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19, 20, 11, 13]
19 | 0.043010 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2376, 237, 3150, 2792, 2073, 135, 249, 32, 62, 8] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19, 20, 13, 11, 17]
20 | 0.043011 | [1012, 1413, 618, 899, 273, 273, 226, 1344, 263, 2376, 237, 3150, 2792, 2073, 135, 249, 32, 62, 8, 239] | [9, 8, 5, 15, 6, 7, 16, 14, 10, 2, 12, 1, 4, 3, 19, 20, 13, 11, 17, 18]
