n_caps | min_Z | models | nodes
0.071049 | [1014, 898] | [5, 9]
3 | 0.059955 | [1014, 899, 766] | [5, 9, 15]
4 | 0.054011 | [1014, 898, 766, 893] | [5, 9, 14, 6]
5 | 0.049053 | [1014, 898, 767, 893, 512] | [5, 9, 14, 6, 10]
6 | 0.048920 | [1014, 898, 767, 893, 512, 2511] | [5, 9, 14, 6, 10, 7]
7 | 0.047816 | [1015, 898, 767, 893, 512, 2511, 221] | [5, 9, 14, 6, 10, 7, 8]
8 | 0.046326 | [1015, 898, 767, 893, 512, 2511, 221, 893] | [5, 9, 14, 6, 10, 7, 8, 16]
9 | 0.044778 | [1015, 898, 768, 893, 512, 2511, 222, 893, 402] | [5, 9, 14, 6, 10, 7, 8, 16, 15]
10 | 0.044635 | [1015, 898, 768, 893, 512, 2511, 221, 893, 402, 2330] | [5, 9, 14, 6, 10, 7, 8, 15, 16, 2]
11 | 0.044623 | [1015, 898, 768, 893, 512, 2511, 221, 893, 402, 2330, 614] | [5, 9, 14, 6, 10, 7, 8, 15, 16, 2, 1]
12 | 0.043989 | [1015, 898, 768, 893, 511, 2511, 221, 893, 402, 2331, 614, 767] | [4, 9, 14, 6, 10, 5, 7, 15, 16, 2, 8, 17]
13 | 0.043632 | [1016, 898, 768, 893, 511, 2511, 221, 892, 402, 2331, 614, 767, 568] | [4, 9, 13, 5, 10, 6, 7, 15, 16, 2, 8, 17, 14]
14 | 0.043419 | [1016, 898, 768, 893, 512, 2511, 221, 893, 402, 2331, 614, 766, 568, 341] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15]
15 | 0.043403 | [1016, 898, 768, 893, 512, 2511, 221, 893, 402, 2331, 614, 766, 568, 341, 1933] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 1]
16 | 0.043402 | [1016, 898, 768, 893, 512, 2511, 221, 893, 402, 2330, 614, 766, 568, 341, 1933, 1761] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 1, 3]
17 | 0.043360 | [1016, 898, 768, 893, 512, 2511, 222, 893, 403, 2331, 614, 766, 568, 341, 1933, 1762, 2638] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 1, 3, 20]
18 | 0.043361 | [1016, 898, 768, 893, 512, 2511, 222, 893, 403, 2331, 614, 767, 568, 341, 1933, 1762, 2639, 227] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 1, 3, 20, 19]
19 | 0.043047 | [1016, 898, 768, 893, 512, 2511, 222, 893, 403, 2331, 614, 766, 568, 341, 1933, 1762, 2639, 227, 238] | [4, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 1, 3, 19, 20, 11]
20 | 0.043185 | [1016, 898, 768, 893, 512, 2511, 222, 893, 404, 2331, 614, 766, 568, 341, 1933, 1762, 2639, 227, 238, 1690] | [3, 9, 13, 5, 10, 6, 7, 16, 17, 2, 8, 18, 14, 15, 19, 4, 20, 12, 11, 1]
