n_caps | min_Z | models | nodes
0.076658 | [1012, 1498] | [14, 15]
3 | 0.063404 | [1012, 1498, 585] | [14, 16, 15]
4 | 0.055451 | [1012, 1498, 585, 1263] | [14, 15, 16, 10]
5 | 0.052617 | [1012, 1498, 585, 1263, 606] | [14, 15, 16, 10, 5]
6 | 0.050827 | [1012, 1498, 585, 1263, 606, 263] | [14, 15, 16, 10, 5, 17]
7 | 0.049547 | [1012, 1498, 586, 1263, 604, 262, 1511] | [14, 15, 16, 10, 5, 17, 9]
8 | 0.047006 | [1012, 1496, 585, 1263, 604, 262, 1510, 498] | [14, 17, 15, 9, 5, 16, 10, 6]
9 | 0.045409 | [1012, 1497, 585, 1262, 605, 263, 1509, 498, 171] | [14, 17, 15, 9, 5, 16, 10, 6, 7]
10 | 0.044060 | [1012, 1497, 585, 1263, 605, 263, 1509, 498, 171, 1655] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11]
11 | 0.044034 | [1012, 1496, 585, 1263, 605, 263, 1509, 498, 171, 1655, 1294] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 8]
12 | 0.043930 | [1012, 1496, 585, 1263, 605, 263, 1509, 498, 171, 1655, 1294, 260] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 8, 13]
13 | 0.043964 | [1012, 1496, 585, 1263, 605, 263, 1509, 498, 171, 1655, 1294, 260, 871] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18]
14 | 0.043957 | [1012, 1496, 585, 1263, 605, 263, 1509, 497, 171, 1655, 1294, 260, 871, 146] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 1]
15 | 0.043912 | [1012, 1496, 585, 1264, 605, 263, 1509, 497, 171, 1655, 1294, 260, 871, 149, 78] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 2, 19]
16 | 0.043825 | [1012, 1496, 585, 1264, 605, 263, 1509, 497, 171, 1655, 1294, 260, 871, 149, 78, 1064] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 2, 8, 1]
17 | 0.043819 | [1012, 1496, 585, 1264, 605, 263, 1509, 497, 171, 1655, 1294, 260, 871, 149, 77, 1064, 709] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 1, 8, 2, 3]
18 | 0.043823 | [1012, 1496, 585, 1264, 605, 262, 1509, 498, 171, 1654, 1294, 260, 871, 149, 77, 1064, 709, 3306] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 1, 8, 2, 3, 19]
19 | 0.043833 | [1012, 1496, 585, 1264, 605, 262, 1509, 498, 171, 1654, 1294, 260, 871, 149, 77, 1064, 709, 3306, 147] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 1, 8, 2, 3, 19, 20]
20 | 0.043839 | [1012, 1496, 585, 1264, 605, 262, 1509, 498, 171, 1654, 1294, 260, 871, 149, 77, 1064, 710, 3306, 147, 1237] | [14, 17, 16, 9, 5, 15, 10, 6, 7, 11, 12, 13, 18, 1, 8, 2, 4, 19, 20, 3]
