2026-01-14 05:06:17,998 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-14 05:12:26,176 INFO: n_caps=2 | minZ=0.064766 | models=[1012, 1012] | nodes=[9, 10]
2026-01-14 05:18:41,753 INFO: n_caps=3 | minZ=0.053863 | models=[1012, 1012, 528] | nodes=[9, 10, 14]
2026-01-14 05:24:40,490 INFO: n_caps=4 | minZ=0.049874 | models=[1012, 1012, 527, 433] | nodes=[9, 10, 14, 15]
2026-01-14 05:31:01,148 INFO: n_caps=5 | minZ=0.047841 | models=[1012, 1012, 528, 433, 226] | nodes=[9, 10, 14, 15, 7]
2026-01-14 05:37:06,779 INFO: n_caps=6 | minZ=0.045686 | models=[1012, 1012, 527, 433, 225, 434] | nodes=[9, 10, 14, 15, 7, 5]
2026-01-14 05:43:26,798 INFO: n_caps=7 | minZ=0.043706 | models=[1012, 1012, 527, 433, 226, 434, 171] | nodes=[9, 10, 14, 15, 7, 5, 16]
2026-01-14 05:49:37,890 INFO: n_caps=8 | minZ=0.042236 | models=[1012, 1012, 527, 433, 226, 434, 171, 221] | nodes=[9, 10, 14, 15, 6, 5, 16, 7]
2026-01-14 05:56:06,211 INFO: n_caps=9 | minZ=0.041866 | models=[1012, 1012, 527, 433, 226, 434, 171, 221, 171] | nodes=[9, 10, 14, 15, 7, 5, 16, 6, 8]
2026-01-14 05:56:06,212 INFO: Threshold reached at n_caps=9
