n_caps | min_Z | models | nodes
0.077411 | [677, 1420] | [10, 16]
3 | 0.065748 | [677, 1420, 342] | [10, 16, 5]
4 | 0.059604 | [677, 1420, 342, 753] | [9, 16, 5, 14]
5 | 0.055169 | [677, 1419, 342, 753, 1369] | [9, 16, 5, 14, 10]
6 | 0.051663 | [677, 1419, 342, 753, 1369, 344] | [9, 16, 5, 14, 10, 15]
7 | 0.048996 | [677, 1419, 342, 753, 1369, 344, 178] | [9, 15, 5, 14, 10, 16, 7]
8 | 0.046351 | [677, 1419, 342, 753, 1369, 344, 178, 231] | [9, 15, 5, 14, 10, 16, 7, 6]
9 | 0.045819 | [677, 1419, 342, 753, 1369, 344, 178, 231, 451] | [9, 16, 5, 14, 10, 15, 7, 6, 8]
10 | 0.045618 | [677, 1419, 342, 753, 1369, 344, 178, 231, 451, 893] | [9, 16, 6, 14, 11, 15, 7, 8, 10, 5]
11 | 0.044436 | [676, 1419, 342, 753, 1369, 344, 178, 231, 450, 893, 3168] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2]
12 | 0.043672 | [676, 1418, 342, 753, 1369, 344, 178, 231, 450, 893, 3167, 231] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12]
13 | 0.043508 | [676, 1419, 342, 753, 1369, 344, 178, 231, 450, 893, 3167, 231, 164] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13]
14 | 0.043431 | [676, 1419, 342, 753, 1369, 344, 178, 231, 450, 893, 3166, 231, 164, 2272] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18]
15 | 0.043403 | [676, 1419, 342, 753, 1369, 344, 178, 231, 450, 893, 3166, 231, 164, 2272, 1170] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1]
16 | 0.043433 | [676, 1419, 342, 753, 1369, 344, 178, 231, 449, 893, 3166, 232, 164, 2273, 1170, 39] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1, 19]
17 | 0.043466 | [676, 1419, 342, 753, 1369, 344, 178, 231, 449, 893, 3166, 232, 164, 2273, 1170, 39, 3330] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1, 19, 20]
18 | 0.043461 | [676, 1419, 342, 753, 1369, 344, 178, 231, 449, 893, 3166, 232, 164, 2273, 1170, 39, 3330, 29] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1, 19, 20, 3]
19 | 0.043507 | [676, 1419, 342, 753, 1369, 344, 178, 231, 449, 893, 3166, 232, 164, 2273, 1170, 39, 3330, 29, 3328] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1, 19, 20, 3, 4]
20 | 0.043577 | [676, 1419, 342, 753, 1369, 344, 178, 231, 449, 893, 3166, 232, 164, 2273, 1170, 39, 3330, 29, 3328, 35] | [9, 15, 6, 14, 10, 16, 7, 8, 11, 5, 2, 12, 13, 18, 1, 19, 20, 3, 4, 17]
