2026-01-09 21:14:45,438 INFO: n_caps=1 | minZ=0.094622 | models=[1014] | nodes=[16]
2026-01-09 21:15:19,610 INFO: n_caps=2 | minZ=0.071023 | models=[1014, 898] | nodes=[16, 10]
2026-01-09 21:15:53,190 INFO: n_caps=3 | minZ=0.058892 | models=[1014, 899, 1012] | nodes=[16, 10, 9]
2026-01-09 21:16:27,312 INFO: n_caps=4 | minZ=0.051455 | models=[1014, 899, 1012, 456] | nodes=[16, 10, 9, 5]
2026-01-09 21:17:02,906 INFO: n_caps=5 | minZ=0.048425 | models=[1014, 899, 1012, 456, 1511] | nodes=[15, 10, 9, 5, 14]
2026-01-09 21:17:35,981 INFO: n_caps=6 | minZ=0.046663 | models=[1014, 898, 1012, 456, 1511, 333] | nodes=[15, 10, 9, 5, 14, 7]
2026-01-09 21:18:08,994 INFO: n_caps=7 | minZ=0.044246 | models=[1014, 899, 1012, 456, 1511, 333, 262] | nodes=[15, 10, 9, 5, 14, 7, 6]
2026-01-09 21:18:45,102 INFO: n_caps=8 | minZ=0.043055 | models=[1014, 899, 1012, 456, 1511, 334, 262, 412] | nodes=[14, 10, 9, 5, 15, 7, 6, 8]
2026-01-09 21:19:18,571 INFO: n_caps=9 | minZ=0.042691 | models=[1014, 898, 1012, 455, 1511, 334, 262, 412, 629] | nodes=[14, 10, 9, 5, 16, 7, 6, 15, 8]
2026-01-09 21:19:57,969 INFO: n_caps=10 | minZ=0.042028 | models=[1014, 899, 1012, 455, 1512, 334, 262, 412, 629, 240] | nodes=[14, 10, 9, 5, 16, 7, 6, 15, 8, 2]
2026-01-09 21:20:36,924 INFO: n_caps=11 | minZ=0.042028 | models=[1014, 899, 1012, 455, 1512, 334, 262, 412, 629, 240, 1406] | nodes=[14, 10, 9, 5, 16, 7, 6, 15, 8, 2, 1]
2026-01-09 21:21:15,416 INFO: n_caps=12 | minZ=0.041893 | models=[1014, 898, 1012, 455, 1512, 334, 262, 412, 629, 240, 1406, 77] | nodes=[14, 10, 9, 5, 16, 7, 6, 15, 8, 2, 1, 11]
2026-01-09 21:21:15,416 INFO: Threshold reached at n_caps=12
