n_caps | min_Z | models | nodes
 0.071023 | [1014, 898] | [16, 10]
3 | 0.058892 | [1014, 899, 1012] | [16, 10, 9]
4 | 0.051455 | [1014, 899, 1012, 456] | [16, 10, 9, 5]
5 | 0.048425 | [1014, 899, 1012, 456, 1511] | [15, 10, 9, 5, 14]
6 | 0.046663 | [1014, 898, 1012, 456, 1511, 333] | [15, 10, 9, 5, 14, 7]
7 | 0.044246 | [1014, 899, 1012, 456, 1511, 333, 262] | [15, 10, 9, 5, 14, 7, 6]
8 | 0.043055 | [1014, 899, 1012, 456, 1511, 334, 262, 412] | [14, 10, 9, 5, 15, 7, 6, 8]
9 | 0.042691 | [1014, 898, 1012, 455, 1511, 334, 262, 412, 629] | [14, 10, 9, 5, 16, 7, 6, 15, 8]
10 | 0.042028 | [1014, 899, 1012, 455, 1512, 334, 262, 412, 629, 240] | [14, 10, 9, 5, 16, 7, 6, 15, 8, 2]
11 | 0.042028 | [1014, 899, 1012, 455, 1512, 334, 262, 412, 629, 240, 1406] | [14, 10, 9, 5, 16, 7, 6, 15, 8, 2, 1]
12 | 0.041893 | [1014, 898, 1012, 455, 1512, 334, 262, 412, 629, 240, 1406, 77] | [14, 10, 9, 5, 16, 7, 6, 15, 8, 2, 1, 11]
