n_caps | min_Z | models | nodes
0.084394 | [997, 753] | [16, 14]
3 | 0.073257 | [997, 753, 1869] | [16, 14, 10]
4 | 0.062521 | [997, 753, 1870, 898] | [16, 14, 10, 9]
5 | 0.055006 | [997, 753, 1870, 898, 585] | [16, 14, 10, 9, 6]
6 | 0.051709 | [998, 753, 1871, 898, 585, 452] | [15, 14, 10, 9, 5, 7]
7 | 0.049582 | [1001, 753, 1871, 898, 585, 452, 928] | [15, 14, 10, 9, 5, 7, 16]
8 | 0.048510 | [1001, 753, 1871, 898, 585, 452, 928, 150] | [14, 15, 11, 10, 5, 7, 16, 6]
9 | 0.046812 | [1002, 753, 1872, 899, 584, 452, 928, 150, 1126] | [15, 14, 11, 10, 5, 7, 16, 6, 9]
10 | 0.046695 | [1002, 753, 1872, 899, 584, 452, 928, 150, 1126, 1229] | [15, 14, 11, 10, 5, 7, 16, 6, 9, 2]
11 | 0.046405 | [1002, 753, 1872, 899, 584, 453, 928, 150, 1126, 1229, 363] | [15, 14, 11, 10, 5, 7, 16, 6, 9, 2, 8]
12 | 0.045258 | [1001, 753, 1872, 899, 584, 453, 928, 150, 1127, 1229, 363, 263] | [15, 14, 11, 10, 4, 6, 16, 5, 9, 2, 7, 12]
13 | 0.045236 | [1002, 753, 1872, 898, 584, 453, 928, 150, 1127, 1229, 362, 262, 1671] | [15, 14, 11, 10, 4, 6, 16, 5, 9, 2, 7, 12, 1]
14 | 0.044683 | [1001, 752, 1872, 899, 583, 453, 928, 150, 1127, 1228, 362, 262, 1671, 523] | [15, 13, 11, 10, 4, 6, 16, 5, 9, 2, 7, 12, 1, 14]
15 | 0.044021 | [1001, 753, 1872, 899, 583, 453, 928, 150, 1126, 1229, 363, 262, 1671, 523, 936] | [11, 14, 12, 10, 4, 6, 15, 5, 9, 2, 7, 13, 1, 16, 8]
16 | 0.044001 | [1002, 752, 1873, 899, 584, 453, 928, 150, 1127, 1229, 363, 262, 1671, 523, 936, 2132] | [11, 14, 12, 10, 4, 7, 15, 5, 9, 2, 6, 13, 3, 16, 8, 1]
17 | 0.044029 | [1002, 752, 1873, 899, 585, 453, 929, 150, 1127, 1229, 363, 263, 1671, 524, 937, 2132, 1343] | [11, 14, 12, 10, 4, 7, 15, 5, 9, 2, 6, 13, 3, 16, 8, 1, 20]
18 | 0.044041 | [1002, 752, 1873, 899, 585, 453, 929, 150, 1127, 1229, 363, 263, 1671, 524, 937, 2132, 1343, 102] | [11, 14, 12, 10, 4, 7, 15, 5, 9, 2, 6, 13, 3, 16, 8, 1, 20, 17]
19 | 0.044041 | [1002, 752, 1873, 899, 584, 453, 928, 150, 1127, 1229, 363, 262, 1671, 524, 937, 2132, 1343, 102, 360] | [11, 14, 12, 10, 4, 7, 15, 5, 9, 2, 6, 13, 3, 16, 8, 1, 20, 17, 18]
20 | 0.044043 | [1001, 752, 1873, 899, 584, 453, 928, 149, 1126, 1229, 363, 262, 1671, 523, 936, 2131, 1343, 102, 359, 177] | [11, 14, 12, 10, 4, 7, 15, 5, 9, 2, 6, 13, 3, 16, 8, 1, 20, 17, 18, 19]
