n_caps,min_impedance,time_sec,models,nodes
1,0.08736485068721798,2416.7113906322047,[1012],[9]
2,0.06697615226349697,2413.315507383086,"[1012, 893]","[9, 9]"
3,0.05619844250364143,2418.5107734948397,"[1012, 893, 685]","[9, 10, 15]"
