n_caps | min_Z | models | nodes
0.078696 | [983, 893] | [16, 10]
3 | 0.065322 | [983, 893, 898] | [16, 10, 14]
4 | 0.058433 | [982, 893, 898, 1551] | [16, 10, 14, 5]
5 | 0.052631 | [982, 892, 898, 1552, 610] | [16, 10, 14, 5, 15]
6 | 0.050116 | [982, 892, 898, 1552, 610, 1324] | [16, 10, 14, 5, 15, 9]
7 | 0.047390 | [982, 892, 898, 1552, 610, 1324, 363] | [16, 9, 14, 6, 15, 10, 5]
8 | 0.045368 | [982, 892, 898, 1552, 610, 1324, 363, 269] | [16, 10, 14, 6, 15, 9, 5, 7]
9 | 0.044575 | [981, 892, 898, 1552, 609, 1322, 363, 269, 631] | [16, 10, 14, 6, 15, 9, 7, 5, 8]
10 | 0.044165 | [982, 892, 898, 1552, 609, 1322, 363, 269, 631, 174] | [16, 10, 14, 6, 15, 9, 7, 5, 8, 11]
11 | 0.043907 | [982, 892, 899, 1551, 609, 1322, 363, 269, 631, 174, 1765] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2]
12 | 0.043883 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1]
13 | 0.043900 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12]
14 | 0.043594 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17]
15 | 0.043612 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18]
16 | 0.043636 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622, 220] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18, 19]
17 | 0.043654 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622, 220, 107] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18, 19, 3]
18 | 0.043669 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622, 220, 107, 476] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18, 19, 3, 4]
19 | 0.043680 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622, 220, 107, 476, 6] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18, 19, 3, 4, 20]
20 | 0.043845 | [982, 892, 899, 1551, 610, 1322, 363, 269, 631, 174, 1765, 2570, 1503, 237, 622, 220, 107, 476, 6, 768] | [16, 10, 14, 6, 15, 11, 7, 5, 8, 9, 2, 1, 12, 17, 18, 19, 3, 4, 20, 13]
