n_caps | min_Z | models | nodes
0.082812 | [848, 1014] | [5, 15]
3 | 0.069319 | [845, 1014, 1873] | [6, 16, 5]
4 | 0.064036 | [844, 1014, 1872, 1155] | [5, 16, 6, 14]
5 | 0.057454 | [844, 1014, 1872, 1155, 588] | [5, 15, 6, 14, 9]
6 | 0.056631 | [845, 1014, 1872, 1156, 588, 2588] | [6, 16, 5, 14, 10, 2]
7 | 0.053332 | [845, 1014, 1872, 1156, 588, 2588, 765] | [6, 16, 5, 14, 10, 2, 15]
8 | 0.051081 | [845, 1014, 1873, 1156, 588, 2589, 765, 617] | [6, 16, 5, 15, 10, 2, 14, 7]
9 | 0.050020 | [845, 1013, 1873, 1156, 588, 2589, 765, 616, 1270] | [6, 16, 5, 15, 9, 2, 14, 7, 8]
10 | 0.049813 | [845, 1013, 1873, 1156, 588, 2589, 765, 616, 1270, 1763] | [6, 16, 5, 15, 9, 2, 14, 7, 8, 3]
11 | 0.049057 | [844, 1014, 1873, 1156, 588, 2589, 766, 617, 1270, 1763, 413] | [6, 17, 7, 15, 9, 3, 14, 5, 8, 2, 10]
12 | 0.047512 | [844, 1015, 1874, 1155, 588, 2589, 766, 616, 1270, 1762, 413, 113] | [6, 16, 7, 15, 9, 2, 14, 5, 8, 3, 10, 11]
13 | 0.047486 | [844, 1015, 1874, 1155, 588, 2589, 766, 616, 1270, 1762, 413, 113, 140] | [6, 16, 7, 15, 9, 2, 14, 5, 8, 3, 10, 11, 17]
14 | 0.047473 | [844, 1015, 1874, 1156, 587, 2589, 767, 616, 1270, 1763, 413, 113, 140, 1089] | [6, 16, 7, 15, 9, 2, 14, 5, 8, 3, 10, 11, 17, 1]
15 | 0.047483 | [844, 1015, 1874, 1156, 587, 2589, 767, 616, 1270, 1763, 413, 113, 140, 1089, 1823] | [6, 16, 7, 15, 9, 2, 14, 5, 8, 3, 10, 11, 17, 1, 4]
16 | 0.047456 | [844, 1015, 1874, 1156, 587, 2589, 766, 616, 1270, 1762, 413, 113, 140, 1090, 1823, 259] | [6, 16, 7, 15, 9, 2, 14, 5, 4, 3, 10, 8, 17, 1, 11, 12]
17 | 0.047454 | [844, 1015, 1874, 1156, 587, 2589, 766, 616, 1270, 1762, 413, 113, 140, 1090, 1823, 259, 27] | [6, 16, 7, 15, 9, 2, 14, 5, 4, 3, 10, 8, 17, 1, 11, 12, 18]
18 | 0.047484 | [844, 1015, 1874, 1156, 587, 2589, 766, 616, 1270, 1762, 413, 113, 140, 1090, 1823, 259, 27, 2808] | [6, 16, 7, 15, 9, 2, 14, 5, 4, 3, 10, 8, 17, 1, 11, 12, 18, 19]
19 | 0.047491 | [844, 1015, 1874, 1156, 587, 2589, 766, 616, 1270, 1762, 413, 113, 140, 1090, 1823, 259, 27, 2808, 3266] | [6, 16, 7, 15, 9, 2, 14, 5, 4, 3, 10, 8, 17, 1, 11, 12, 18, 19, 20]
20 | 0.047491 | [844, 1015, 1874, 1156, 587, 2589, 766, 616, 1270, 1762, 413, 113, 140, 1090, 1823, 259, 27, 2808, 3266, 139] | [6, 16, 7, 15, 9, 2, 14, 5, 4, 3, 10, 8, 17, 1, 11, 12, 18, 19, 20, 13]
