n_caps | min_Z | models | nodes
0.068828 | [1014, 685] | [9, 6]
3 | 0.058550 | [1014, 685, 1170] | [9, 5, 7]
4 | 0.051605 | [1014, 685, 1169, 610] | [9, 5, 6, 10]
5 | 0.048865 | [1014, 685, 1170, 610, 595] | [9, 5, 6, 10, 14]
6 | 0.046668 | [1014, 685, 1170, 610, 595, 447] | [9, 5, 6, 10, 14, 7]
7 | 0.045259 | [1014, 685, 1169, 610, 594, 447, 344] | [9, 5, 6, 10, 14, 7, 16]
8 | 0.044201 | [1014, 685, 1169, 610, 594, 447, 344, 282] | [9, 5, 6, 10, 14, 7, 16, 15]
9 | 0.043358 | [1014, 685, 1169, 610, 593, 447, 343, 281, 263] | [10, 5, 6, 9, 14, 7, 16, 15, 8]
10 | 0.043043 | [1014, 686, 1169, 610, 593, 447, 341, 281, 263, 964] | [10, 5, 6, 9, 14, 7, 15, 16, 8, 11]
11 | 0.042881 | [1014, 687, 1170, 610, 593, 447, 342, 282, 263, 964, 2054] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 3]
12 | 0.042837 | [1014, 687, 1170, 610, 594, 447, 342, 282, 263, 964, 2054, 997] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 3, 2]
13 | 0.042833 | [1014, 687, 1170, 610, 594, 447, 342, 281, 263, 964, 2053, 996, 2055] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 3, 1, 2]
14 | 0.042832 | [1014, 687, 1170, 610, 594, 447, 342, 282, 263, 964, 2053, 996, 2055, 475] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 3, 1, 2, 4]
15 | 0.042835 | [1014, 687, 1170, 610, 594, 447, 342, 281, 263, 964, 2053, 996, 2055, 475, 1503] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 4, 1, 2, 3, 20]
16 | 0.042855 | [1014, 687, 1170, 610, 594, 447, 342, 281, 263, 964, 2053, 995, 2055, 475, 1503, 52] | [10, 6, 5, 9, 14, 7, 15, 16, 8, 11, 3, 1, 2, 4, 20, 18]
17 | 0.042525 | [1014, 686, 1170, 610, 594, 447, 342, 282, 263, 964, 2053, 995, 2055, 475, 1504, 52, 3040] | [9, 6, 5, 10, 15, 8, 14, 16, 7, 11, 3, 1, 2, 4, 20, 17, 18]
18 | 0.042357 | [1014, 686, 1170, 610, 594, 447, 342, 281, 262, 963, 2052, 995, 2055, 476, 1503, 50, 3040, 2028] | [9, 5, 6, 8, 15, 10, 14, 16, 7, 11, 3, 4, 2, 12, 20, 17, 18, 19]
19 | 0.042200 | [1014, 686, 1170, 611, 594, 447, 342, 282, 262, 962, 2052, 995, 2055, 475, 1503, 51, 3039, 2028, 2767] | [9, 5, 6, 8, 15, 10, 14, 16, 7, 11, 3, 4, 2, 12, 19, 17, 18, 20, 1]
20 | 0.041832 | [1014, 686, 1170, 611, 595, 447, 342, 282, 261, 962, 2052, 994, 2055, 475, 1503, 51, 3039, 2028, 2767, 239] | [9, 5, 6, 8, 15, 7, 14, 16, 10, 11, 3, 4, 2, 12, 19, 17, 18, 20, 1, 13]
