n_caps | min_Z | models | nodes
0.070086 | [1014, 1345] | [9, 10]
3 | 0.060378 | [1012, 899, 1424] | [9, 10, 5]
4 | 0.053517 | [1012, 899, 1424, 606] | [9, 10, 5, 15]
5 | 0.049192 | [1012, 898, 1424, 604, 528] | [9, 10, 6, 15, 14]
6 | 0.046759 | [1012, 899, 1424, 602, 528, 434] | [9, 10, 6, 15, 14, 5]
7 | 0.045326 | [1012, 899, 1424, 602, 527, 433, 260] | [9, 10, 6, 15, 14, 5, 16]
8 | 0.043486 | [1012, 898, 1425, 601, 527, 433, 260, 1651] | [9, 10, 6, 15, 14, 5, 16, 11]
9 | 0.042213 | [1012, 898, 1425, 601, 527, 433, 260, 1651, 115] | [9, 10, 6, 15, 14, 5, 16, 11, 7]
10 | 0.042130 | [1012, 898, 1425, 601, 527, 433, 260, 1651, 115, 1442] | [9, 10, 7, 15, 14, 5, 16, 11, 6, 2]
11 | 0.041973 | [1012, 898, 1425, 602, 528, 433, 261, 1652, 115, 1442, 184] | [9, 10, 7, 15, 14, 5, 16, 11, 6, 2, 8]
