n_caps | min_Z | models | nodes
 0.067602 | [1012, 899] | [9, 15]
3 | 0.058139 | [1012, 898, 1126] | [9, 15, 10]
4 | 0.051466 | [1012, 898, 1126, 434] | [9, 15, 10, 6]
5 | 0.047592 | [1012, 898, 1126, 433, 362] | [9, 14, 10, 5, 6]
6 | 0.044812 | [1012, 899, 1127, 434, 363, 342] | [9, 15, 10, 5, 6, 14]
7 | 0.044047 | [1012, 899, 1127, 434, 363, 342, 2280] | [9, 14, 10, 5, 6, 15, 7]
8 | 0.043536 | [1012, 899, 1127, 434, 362, 342, 2280, 1512] | [9, 14, 10, 5, 6, 15, 7, 16]
9 | 0.042897 | [1011, 899, 1127, 434, 363, 342, 2280, 1511, 365] | [9, 14, 10, 5, 6, 15, 7, 16, 8]
10 | 0.042313 | [1012, 899, 1127, 433, 362, 343, 2280, 1511, 364, 208] | [9, 14, 10, 5, 6, 15, 4, 16, 7, 11]
11 | 0.042093 | [1012, 898, 1127, 434, 362, 343, 2280, 1511, 364, 208, 892] | [9, 15, 10, 5, 6, 16, 4, 17, 7, 11, 14]
12 | 0.041824 | [1012, 899, 1127, 434, 362, 343, 2279, 1511, 364, 208, 892, 1561] | [9, 15, 8, 5, 6, 16, 4, 17, 7, 10, 14, 2]
