2026-01-12 18:22:40,592 INFO: n_caps=1 | minZ=0.093198 | models=[1012] | nodes=[14]
2026-01-12 18:24:42,487 INFO: n_caps=2 | minZ=0.069737 | models=[1012, 1014] | nodes=[14, 15]
2026-01-12 18:26:55,886 INFO: n_caps=3 | minZ=0.055874 | models=[1012, 1014, 527] | nodes=[14, 15, 5]
2026-01-12 18:28:53,568 INFO: n_caps=4 | minZ=0.050989 | models=[1012, 1014, 528, 433] | nodes=[14, 15, 5, 10]
2026-01-12 18:30:56,822 INFO: n_caps=5 | minZ=0.048459 | models=[1012, 1014, 528, 433, 91] | nodes=[14, 15, 5, 9, 6]
2026-01-12 18:32:59,641 INFO: n_caps=6 | minZ=0.045869 | models=[1012, 1014, 528, 433, 92, 434] | nodes=[14, 15, 5, 9, 6, 10]
2026-01-12 18:35:00,329 INFO: n_caps=7 | minZ=0.043272 | models=[1012, 1014, 528, 433, 91, 434, 189] | nodes=[14, 15, 5, 9, 6, 10, 7]
2026-01-12 18:37:10,099 INFO: n_caps=8 | minZ=0.042055 | models=[1012, 1014, 528, 433, 91, 434, 189, 222] | nodes=[14, 15, 5, 9, 6, 10, 7, 16]
2026-01-12 18:39:12,159 INFO: n_caps=9 | minZ=0.041609 | models=[1012, 1014, 527, 433, 91, 434, 189, 222, 164] | nodes=[14, 15, 5, 9, 6, 10, 7, 16, 8]
2026-01-12 18:39:12,160 INFO: Threshold reached at n_caps=9
