n_caps | min_Z | models | nodes
0.066703 | [1012, 1014] | [9, 5]
3 | 0.059675 | [1012, 1014, 671] | [9, 5, 10]
4 | 0.053801 | [1012, 1014, 671, 892] | [9, 5, 10, 15]
5 | 0.048097 | [1012, 1014, 671, 892, 456] | [9, 5, 10, 15, 14]
6 | 0.045214 | [1012, 1014, 671, 892, 456, 334] | [9, 5, 10, 15, 14, 6]
7 | 0.043941 | [1012, 1014, 672, 892, 456, 334, 364] | [9, 5, 10, 15, 14, 6, 16]
8 | 0.043241 | [1012, 1014, 672, 892, 456, 334, 363, 567] | [9, 5, 10, 15, 14, 6, 16, 7]
9 | 0.043019 | [1012, 1014, 672, 893, 456, 334, 363, 567, 221] | [9, 5, 10, 15, 14, 6, 16, 7, 8]
10 | 0.042318 | [1012, 1014, 672, 893, 456, 334, 363, 567, 221, 1661] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 1]
11 | 0.042259 | [1012, 1014, 672, 893, 456, 334, 364, 567, 221, 1661, 69] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17]
12 | 0.042244 | [1012, 1014, 672, 893, 456, 334, 364, 567, 221, 1661, 69, 3045] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 1]
13 | 0.042231 | [1012, 1014, 672, 893, 456, 334, 364, 567, 221, 1661, 69, 3045, 40] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 1, 11]
14 | 0.042238 | [1012, 1014, 672, 893, 456, 334, 364, 567, 221, 1661, 69, 3045, 40, 3297] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 1, 11, 3]
15 | 0.042259 | [1012, 1014, 672, 893, 456, 334, 364, 567, 221, 1661, 70, 3046, 40, 3297, 1754] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 1, 11, 18, 3]
16 | 0.042257 | [1012, 1014, 672, 892, 456, 334, 364, 567, 221, 1661, 70, 3046, 40, 3297, 1754, 74] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 3, 11, 18, 4, 12]
17 | 0.042223 | [1012, 1014, 672, 892, 456, 334, 364, 567, 221, 1661, 70, 3046, 40, 3297, 1754, 73, 3123] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 3, 11, 18, 4, 12, 1]
18 | 0.042184 | [1012, 1014, 672, 892, 456, 334, 364, 567, 221, 1661, 70, 3046, 40, 3297, 1754, 73, 3123, 72] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 3, 11, 18, 4, 12, 1, 13]
19 | 0.041920 | [1012, 1014, 673, 892, 456, 334, 363, 567, 221, 1661, 70, 3045, 39, 3298, 1754, 73, 3123, 72, 706] | [9, 5, 8, 15, 14, 6, 16, 7, 10, 2, 17, 3, 11, 18, 4, 12, 1, 13, 19]
