n_caps | min_Z | models | nodes
1 | 0.094705 | [1012] | [10]
2 | 0.069460 | [1012, 1044] | [9, 10]
3 | 0.059133 | [1012, 1044, 767] | [9, 10, 5]
4 | 0.053680 | [1012, 1044, 752, 893] | [9, 10, 5, 5]
5 | 0.048589 | [1012, 1045, 752, 893, 447] | [9, 10, 5, 5, 5]
6 | 0.045977 | [1012, 1044, 753, 893, 448, 838] | [9, 10, 6, 6, 5, 14]
7 | 0.043709 | [1012, 1044, 753, 893, 448, 838, 262] | [9, 10, 6, 5, 5, 14, 15]
8 | 0.041512 | [1012, 1045, 754, 893, 448, 838, 261, 434] | [9, 10, 6, 5, 5, 14, 15, 16]
