2026-01-12 07:23:17,211 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-12 07:28:41,603 INFO: n_caps=2 | minZ=0.064766 | models=[1012, 1012] | nodes=[9, 10]
2026-01-12 07:34:08,617 INFO: n_caps=3 | minZ=0.053863 | models=[1012, 1012, 527] | nodes=[9, 10, 14]
2026-01-12 07:39:36,979 INFO: n_caps=4 | minZ=0.050462 | models=[1012, 1012, 511, 150] | nodes=[9, 10, 14, 15]
2026-01-12 07:44:57,876 INFO: n_caps=5 | minZ=0.047971 | models=[1012, 1012, 511, 150, 434] | nodes=[9, 10, 14, 15, 5]
2026-01-12 07:50:11,205 INFO: n_caps=6 | minZ=0.045470 | models=[1012, 1012, 511, 1438, 434, 171] | nodes=[9, 10, 14, 15, 5, 6]
2026-01-12 07:55:20,588 INFO: n_caps=7 | minZ=0.043705 | models=[1012, 1012, 511, 1438, 434, 171, 221] | nodes=[10, 9, 14, 15, 5, 6, 7]
2026-01-12 08:00:35,321 INFO: n_caps=8 | minZ=0.042303 | models=[1012, 1012, 511, 1438, 434, 171, 221, 221] | nodes=[9, 10, 14, 15, 5, 7, 6, 16]
2026-01-12 08:05:53,180 INFO: n_caps=9 | minZ=0.041745 | models=[1012, 1012, 510, 1438, 434, 171, 221, 221, 179] | nodes=[9, 10, 14, 15, 5, 7, 6, 16, 8]
2026-01-12 08:05:53,181 INFO: Threshold reached at n_caps=9
