n_caps | min_Z | models | nodes
0.080827 | [975, 911] | [10, 16]
3 | 0.068493 | [975, 910, 837] | [10, 16, 7]
4 | 0.059088 | [975, 910, 837, 434] | [10, 15, 7, 16]
5 | 0.053357 | [975, 910, 837, 434, 837] | [10, 15, 7, 16, 9]
6 | 0.049212 | [975, 910, 837, 433, 837, 685] | [10, 15, 7, 16, 9, 14]
7 | 0.047098 | [975, 911, 837, 433, 838, 685, 524] | [10, 15, 7, 16, 9, 14, 6]
8 | 0.045384 | [975, 911, 837, 433, 838, 685, 524, 439] | [9, 15, 7, 16, 10, 14, 6, 5]
9 | 0.044118 | [975, 910, 837, 434, 838, 685, 524, 439, 238] | [9, 15, 7, 16, 10, 14, 6, 5, 8]
10 | 0.043798 | [975, 910, 837, 434, 838, 685, 524, 439, 238, 125] | [9, 15, 7, 16, 10, 14, 6, 5, 8, 11]
11 | 0.043730 | [975, 910, 837, 434, 838, 685, 524, 440, 238, 125, 1520] | [10, 15, 7, 16, 9, 14, 6, 5, 8, 11, 2]
12 | 0.043624 | [975, 910, 837, 434, 838, 685, 524, 440, 238, 124, 1520, 1461] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 2, 1]
13 | 0.043615 | [975, 910, 837, 434, 838, 685, 524, 440, 238, 124, 1520, 1461, 174] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 2, 1, 18]
14 | 0.043436 | [975, 909, 837, 434, 837, 685, 524, 439, 238, 125, 1520, 1461, 173, 2380] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 2, 1, 18, 17]
15 | 0.043155 | [975, 909, 837, 433, 838, 685, 524, 440, 238, 124, 1520, 1462, 173, 2380, 2175] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 2, 12, 17, 18, 19]
16 | 0.043057 | [976, 909, 837, 433, 837, 685, 524, 440, 238, 125, 1520, 1462, 172, 2381, 2175, 1376] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 1, 12, 17, 18, 19, 2]
17 | 0.043054 | [976, 909, 837, 433, 837, 685, 524, 440, 238, 125, 1520, 1462, 172, 2381, 2175, 1376, 78] | [10, 15, 7, 16, 9, 14, 5, 6, 8, 11, 1, 12, 17, 18, 19, 2, 3]
18 | 0.042957 | [976, 908, 838, 433, 837, 685, 524, 439, 238, 125, 1521, 1462, 172, 2381, 2175, 1376, 77, 134] | [10, 16, 6, 15, 9, 14, 5, 7, 8, 11, 1, 12, 17, 18, 19, 2, 3, 20]
19 | 0.042883 | [976, 908, 837, 433, 837, 685, 524, 439, 238, 125, 1520, 1462, 172, 2381, 2175, 1376, 77, 134, 538] | [9, 16, 6, 14, 10, 15, 5, 7, 8, 11, 1, 12, 17, 18, 19, 2, 3, 4, 20]
20 | 0.042909 | [976, 908, 837, 433, 837, 685, 524, 439, 238, 125, 1520, 1462, 172, 2381, 2175, 1377, 77, 134, 538, 54] | [9, 16, 6, 14, 10, 15, 5, 7, 8, 11, 1, 12, 17, 18, 19, 2, 3, 4, 20, 13]
