n_caps | min_Z | models | nodes
 0.075057 | [1354, 1014] | [14, 10]
3 | 0.066374 | [1354, 1014, 1666] | [15, 10, 14]
4 | 0.059718 | [1354, 1014, 1666, 765] | [15, 10, 14, 16]
5 | 0.051909 | [1354, 1014, 1666, 765, 455] | [15, 10, 14, 16, 6]
6 | 0.049143 | [1354, 1014, 1666, 765, 455, 596] | [15, 10, 14, 16, 6, 9]
7 | 0.047247 | [1354, 1014, 1666, 765, 455, 596, 838] | [15, 10, 14, 16, 5, 9, 7]
8 | 0.046082 | [1354, 1014, 1665, 765, 455, 595, 838, 2275] | [14, 9, 15, 16, 5, 10, 6, 7]
9 | 0.044641 | [1354, 1015, 1665, 764, 455, 595, 838, 2275, 231] | [14, 10, 15, 16, 5, 9, 6, 7, 8]
10 | 0.044293 | [1354, 1015, 1665, 764, 456, 595, 838, 2275, 231, 1587] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 17]
11 | 0.044219 | [1354, 1015, 1665, 764, 456, 596, 838, 2275, 231, 1587, 1317] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 17, 2]
12 | 0.044198 | [1354, 1015, 1665, 764, 456, 596, 838, 2275, 231, 1587, 1316, 871] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 17, 2, 4]
13 | 0.044192 | [1354, 1015, 1665, 764, 456, 596, 838, 2275, 231, 1587, 1317, 871, 1822] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 18, 2, 4, 17]
14 | 0.044181 | [1354, 1015, 1664, 764, 456, 595, 838, 2275, 231, 1587, 1317, 871, 1822, 1512] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 18, 2, 4, 17, 1]
15 | 0.044173 | [1354, 1015, 1664, 764, 456, 595, 838, 2275, 231, 1587, 1316, 871, 1822, 1512, 5] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 18, 2, 4, 17, 1, 19]
16 | 0.044181 | [1354, 1015, 1665, 765, 456, 595, 838, 2275, 231, 1588, 1316, 871, 1822, 1511, 5, 482] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 18, 2, 4, 17, 1, 19, 20]
17 | 0.044184 | [1354, 1016, 1665, 765, 456, 595, 838, 2275, 231, 1588, 1316, 871, 1822, 1512, 5, 482, 2214] | [14, 10, 15, 16, 5, 9, 6, 7, 8, 20, 2, 4, 17, 1, 18, 19, 3]
18 | 0.044448 | [1354, 1015, 1666, 765, 456, 595, 837, 2275, 231, 1588, 1316, 871, 1822, 1512, 5, 482, 2215, 1561] | [13, 9, 14, 15, 5, 10, 6, 7, 8, 20, 3, 4, 16, 1, 17, 18, 19, 2]
19 | 0.044418 | [1354, 1015, 1666, 765, 456, 595, 837, 2275, 231, 1588, 1316, 871, 1822, 1512, 5, 482, 2214, 1561, 596] | [13, 9, 14, 15, 5, 10, 6, 7, 8, 20, 3, 4, 16, 19, 11, 17, 18, 1, 2]
20 | 0.044403 | [1353, 1015, 1666, 765, 456, 595, 838, 2275, 231, 1588, 1316, 871, 1822, 1513, 5, 482, 2214, 1561, 596, 944] | [13, 10, 15, 14, 5, 9, 6, 7, 8, 20, 3, 4, 16, 19, 11, 17, 18, 1, 2, 12]
