2026-02-28 13:40:09,841 INFO: n_caps=1 | minZ=0.089207 | placement={0: 1487}
2026-02-28 13:40:50,052 INFO: n_caps=2 | minZ=0.075568 | placement={0: 1518, 15: 212}
2026-02-28 13:41:33,116 INFO: n_caps=3 | minZ=0.048907 | placement={10: 1726, 7: 725, 0: 1014}
2026-02-28 13:42:15,976 INFO: n_caps=4 | minZ=0.057010 | placement={6: 1749, 0: 1003, 9: 1170, 10: 1776}
2026-02-28 13:42:59,414 INFO: n_caps=5 | minZ=0.047925 | placement={0: 1014, 8: 1112, 6: 0, 5: 1121, 15: 1236}
2026-02-28 13:43:43,048 INFO: n_caps=6 | minZ=0.045255 | placement={7: 1549, 0: 1012, 5: 67, 16: 803, 14: 1096, 8: 717}
2026-02-28 13:44:25,135 INFO: n_caps=7 | minZ=0.046516 | placement={0: 1416, 5: 892, 16: 1315, 14: 596, 6: 83, 15: 972, 7: 1282}
2026-02-28 13:45:08,885 INFO: n_caps=8 | minZ=0.046090 | placement={5: 1416, 16: 892, 14: 1315, 6: 596, 15: 83, 7: 972, 0: 1282, 10: 0}
2026-02-28 13:45:52,065 INFO: n_caps=9 | minZ=0.038797 | placement={16: 1425, 14: 892, 6: 1299, 15: 511, 7: 70, 0: 1014, 10: 1275, 5: 0, 8: 885}
