n_caps | min_Z | models | nodes
0.071748 | [1014, 1960] | [9, 5]
3 | 0.060427 | [1014, 1960, 527] | [9, 5, 16]
4 | 0.052867 | [1014, 1960, 528, 838] | [9, 5, 16, 15]
5 | 0.049584 | [1014, 1960, 528, 838, 456] | [9, 5, 16, 14, 10]
6 | 0.047173 | [1014, 1960, 527, 837, 456, 82] | [9, 5, 16, 14, 10, 15]
7 | 0.045641 | [1014, 1960, 527, 837, 456, 82, 275] | [9, 5, 16, 14, 10, 15, 6]
8 | 0.043824 | [1014, 1960, 527, 837, 455, 82, 275, 183] | [9, 5, 15, 14, 10, 16, 6, 7]
9 | 0.042724 | [1014, 1960, 527, 837, 455, 82, 275, 183, 1304] | [9, 5, 16, 14, 10, 15, 6, 7, 8]
10 | 0.042568 | [1014, 1960, 527, 837, 455, 82, 275, 183, 1304, 184] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17]
11 | 0.042492 | [1014, 1960, 527, 837, 455, 82, 275, 183, 1304, 184, 1185] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2]
12 | 0.042474 | [1014, 1960, 527, 837, 455, 82, 275, 183, 1304, 184, 1184, 753] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1]
13 | 0.042446 | [1014, 1960, 527, 837, 455, 82, 275, 183, 1304, 183, 1184, 753, 30] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11]
14 | 0.042437 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1186, 753, 30, 73] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11, 12]
15 | 0.042463 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 184, 1186, 753, 30, 73, 2728] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11, 12, 4]
16 | 0.042463 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1185, 753, 29, 73, 2728, 31] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11, 12, 4, 18]
17 | 0.042467 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1185, 753, 29, 73, 2728, 31, 255] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11, 12, 4, 18, 20]
18 | 0.042469 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1185, 753, 29, 73, 2728, 31, 255, 3327] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 2, 1, 11, 12, 4, 18, 20, 3]
19 | 0.042475 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1185, 753, 30, 73, 2728, 31, 255, 3327, 828] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 1, 2, 11, 12, 4, 18, 19, 20, 3]
20 | 0.042499 | [1014, 1960, 527, 838, 455, 82, 275, 183, 1304, 183, 1185, 753, 30, 73, 2728, 31, 255, 3327, 828, 17] | [9, 5, 16, 14, 10, 15, 6, 7, 8, 17, 1, 2, 11, 12, 4, 18, 19, 20, 3, 13]
