2026-01-09 23:23:42,064 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-09 23:24:34,211 INFO: n_caps=2 | minZ=0.067520 | models=[1012, 1012] | nodes=[9, 15]
2026-01-09 23:25:30,015 INFO: n_caps=3 | minZ=0.059019 | models=[1012, 1012, 618] | nodes=[9, 15, 7]
2026-01-09 23:26:32,284 INFO: n_caps=4 | minZ=0.052446 | models=[1012, 1012, 618, 509] | nodes=[10, 15, 5, 9]
2026-01-09 23:27:34,289 INFO: n_caps=5 | minZ=0.048453 | models=[1012, 1012, 618, 510, 189] | nodes=[10, 15, 5, 9, 6]
2026-01-09 23:28:29,072 INFO: n_caps=6 | minZ=0.046975 | models=[1012, 1012, 618, 510, 189, 171] | nodes=[10, 15, 6, 9, 5, 7]
2026-01-09 23:29:24,706 INFO: n_caps=7 | minZ=0.045251 | models=[1012, 1012, 618, 509, 189, 171, 1258] | nodes=[10, 15, 5, 9, 6, 7, 8]
2026-01-09 23:30:27,086 INFO: n_caps=8 | minZ=0.043480 | models=[1012, 1012, 618, 509, 189, 171, 1258, 433] | nodes=[10, 15, 5, 9, 6, 7, 8, 14]
2026-01-09 23:31:30,222 INFO: n_caps=9 | minZ=0.042751 | models=[1012, 1012, 618, 509, 189, 171, 1258, 433, 283] | nodes=[10, 15, 5, 9, 6, 7, 8, 14, 16]
2026-01-09 23:32:33,694 INFO: n_caps=10 | minZ=0.041850 | models=[1012, 1012, 619, 510, 189, 171, 1257, 433, 284, 1714] | nodes=[10, 14, 5, 9, 6, 7, 8, 15, 16, 3]
2026-01-09 23:32:33,695 INFO: Threshold reached at n_caps=10
