n_caps | min_Z | models | nodes
0.067520 | [1012, 1012] | [9, 15]
3 | 0.059019 | [1012, 1012, 618] | [9, 15, 7]
4 | 0.052446 | [1012, 1012, 618, 509] | [10, 15, 5, 9]
5 | 0.048453 | [1012, 1012, 618, 510, 189] | [10, 15, 5, 9, 6]
6 | 0.046975 | [1012, 1012, 618, 510, 189, 171] | [10, 15, 6, 9, 5, 7]
7 | 0.045251 | [1012, 1012, 618, 509, 189, 171, 1258] | [10, 15, 5, 9, 6, 7, 8]
8 | 0.043480 | [1012, 1012, 618, 509, 189, 171, 1258, 433] | [10, 15, 5, 9, 6, 7, 8, 14]
9 | 0.042751 | [1012, 1012, 618, 509, 189, 171, 1258, 433, 283] | [10, 15, 5, 9, 6, 7, 8, 14, 16]
10 | 0.041850 | [1012, 1012, 619, 510, 189, 171, 1257, 433, 284, 1714] | [10, 14, 5, 9, 6, 7, 8, 15, 16, 3]
