n_caps | min_Z | models | nodes
0.069979 | [1012, 1084] | [9, 10]
3 | 0.059581 | [1012, 1084, 433] | [9, 10, 6]
4 | 0.053388 | [1012, 1085, 433, 366] | [9, 10, 6, 14]
5 | 0.049469 | [1012, 1085, 433, 366, 367] | [9, 10, 6, 14, 5]
6 | 0.047258 | [1012, 1085, 433, 366, 367, 300] | [9, 10, 6, 14, 5, 7]
7 | 0.045139 | [1012, 1085, 433, 365, 367, 300, 342] | [9, 10, 6, 14, 5, 7, 16]
8 | 0.043130 | [1012, 1086, 434, 365, 367, 300, 342, 394] | [9, 10, 5, 14, 6, 7, 15, 16]
9 | 0.042814 | [1012, 1086, 434, 365, 367, 300, 342, 394, 115] | [9, 10, 5, 14, 6, 7, 15, 16, 8]
10 | 0.042108 | [1012, 1086, 434, 365, 367, 300, 342, 392, 115, 1219] | [9, 8, 5, 14, 6, 7, 15, 16, 10, 2]
11 | 0.041932 | [1012, 1086, 434, 365, 367, 300, 342, 392, 115, 1220, 117] | [9, 8, 5, 14, 6, 10, 15, 16, 7, 3, 13]
