2026-01-19 13:16:47,228 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-19 13:23:53,985 INFO: n_caps=2 | minZ=0.064766 | models=[1014, 1014] | nodes=[9, 10]
2026-01-19 13:30:57,291 INFO: n_caps=3 | minZ=0.053863 | models=[1014, 1014, 528] | nodes=[9, 10, 14]
2026-01-19 13:38:00,533 INFO: n_caps=4 | minZ=0.049874 | models=[1014, 1014, 528, 434] | nodes=[9, 10, 14, 15]
2026-01-19 13:45:12,113 INFO: n_caps=5 | minZ=0.047841 | models=[1014, 1014, 528, 434, 222] | nodes=[9, 10, 14, 15, 7]
2026-01-19 13:52:36,560 INFO: n_caps=6 | minZ=0.045489 | models=[1014, 1014, 528, 434, 221, 434] | nodes=[9, 10, 14, 15, 6, 5]
2026-01-19 13:59:52,492 INFO: n_caps=7 | minZ=0.043580 | models=[1014, 1014, 528, 434, 221, 434, 171] | nodes=[9, 10, 14, 15, 6, 5, 16]
2026-01-19 14:07:07,959 INFO: n_caps=8 | minZ=0.042236 | models=[1014, 1014, 528, 434, 222, 434, 171, 226] | nodes=[9, 10, 14, 15, 6, 5, 16, 7]
2026-01-19 14:14:27,932 INFO: n_caps=9 | minZ=0.041348 | models=[1014, 1014, 528, 434, 222, 434, 171, 226, 893] | nodes=[8, 9, 14, 15, 6, 5, 16, 7, 10]
2026-01-19 14:14:27,933 INFO: Threshold reached at n_caps=9
