n_caps | min_Z | models | nodes
0.064766 | [1012, 1014] | [9, 10]
3 | 0.053863 | [1012, 1014, 528] | [9, 10, 14]
4 | 0.050349 | [1012, 1014, 528, 434] | [9, 10, 14, 6]
5 | 0.047828 | [1012, 1014, 527, 434, 221] | [9, 10, 14, 5, 7]
6 | 0.045741 | [1012, 1014, 527, 434, 221, 109] | [9, 10, 14, 5, 7, 6]
7 | 0.043926 | [1012, 1014, 527, 434, 221, 109, 222] | [9, 10, 14, 5, 7, 6, 15]
8 | 0.042664 | [1014, 1014, 527, 434, 221, 109, 221, 225] | [9, 10, 14, 5, 7, 6, 15, 16]
9 | 0.042090 | [1014, 1014, 527, 434, 221, 109, 222, 225, 178] | [9, 10, 14, 5, 7, 6, 15, 16, 8]
10 | 0.041390 | [1014, 1014, 527, 434, 222, 109, 222, 225, 178, 1287] | [9, 10, 14, 5, 8, 6, 15, 16, 7, 2]
