n_caps | min_Z | models | nodes
0.064766 | [1014, 1012] | [9, 10]
3 | 0.053863 | [1014, 1012, 528] | [9, 10, 14]
4 | 0.050634 | [1014, 1012, 528, 300] | [9, 10, 14, 15]
5 | 0.048235 | [1014, 1012, 528, 300, 455] | [9, 10, 14, 15, 5]
6 | 0.046343 | [1014, 1012, 527, 300, 455, 109] | [9, 10, 14, 15, 5, 6]
7 | 0.044816 | [1014, 1012, 528, 300, 455, 109, 334] | [9, 10, 14, 15, 5, 6, 7]
8 | 0.043468 | [1014, 1012, 527, 300, 455, 109, 334, 189] | [9, 10, 14, 15, 5, 6, 7, 16]
9 | 0.042523 | [1014, 1012, 528, 300, 455, 109, 334, 189, 214] | [9, 10, 14, 16, 5, 6, 7, 15, 8]
10 | 0.041563 | [1014, 1012, 523, 300, 455, 109, 334, 189, 214, 1916] | [9, 10, 14, 16, 5, 6, 7, 15, 8, 2]
