2026-01-10 20:45:54,750 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-10 20:48:13,135 INFO: n_caps=2 | minZ=0.064766 | models=[1014, 1012] | nodes=[9, 10]
2026-01-10 20:50:37,465 INFO: n_caps=3 | minZ=0.053863 | models=[1014, 1012, 528] | nodes=[9, 10, 14]
2026-01-10 20:52:47,465 INFO: n_caps=4 | minZ=0.050634 | models=[1014, 1012, 528, 300] | nodes=[9, 10, 14, 15]
2026-01-10 20:54:54,518 INFO: n_caps=5 | minZ=0.048235 | models=[1014, 1012, 528, 300, 455] | nodes=[9, 10, 14, 15, 5]
2026-01-10 20:56:58,483 INFO: n_caps=6 | minZ=0.046343 | models=[1014, 1012, 527, 300, 455, 109] | nodes=[9, 10, 14, 15, 5, 6]
2026-01-10 20:58:59,743 INFO: n_caps=7 | minZ=0.044816 | models=[1014, 1012, 528, 300, 455, 109, 334] | nodes=[9, 10, 14, 15, 5, 6, 7]
2026-01-10 21:01:15,256 INFO: n_caps=8 | minZ=0.043468 | models=[1014, 1012, 527, 300, 455, 109, 334, 189] | nodes=[9, 10, 14, 15, 5, 6, 7, 16]
2026-01-10 21:03:18,316 INFO: n_caps=9 | minZ=0.042523 | models=[1014, 1012, 528, 300, 455, 109, 334, 189, 214] | nodes=[9, 10, 14, 16, 5, 6, 7, 15, 8]
2026-01-10 21:05:24,932 INFO: n_caps=10 | minZ=0.041563 | models=[1014, 1012, 523, 300, 455, 109, 334, 189, 214, 1916] | nodes=[9, 10, 14, 16, 5, 6, 7, 15, 8, 2]
2026-01-10 21:05:24,933 INFO: Threshold reached at n_caps=10
