n_caps | min_Z | models | nodes
 0.067520 | [1012, 1012] | [15, 9]
3 | 0.054343 | [1012, 1012, 528] | [15, 9, 5]
4 | 0.051499 | [1012, 1012, 528, 523] | [14, 9, 5, 10]
5 | 0.049107 | [1012, 1012, 528, 523, 150] | [14, 9, 5, 10, 6]
6 | 0.046532 | [1012, 1012, 528, 524, 150, 189] | [14, 10, 5, 9, 6, 15]
7 | 0.045197 | [1012, 1012, 528, 524, 150, 189, 364] | [14, 10, 5, 9, 6, 15, 16]
8 | 0.043782 | [1012, 1012, 528, 524, 150, 189, 364, 742] | [14, 10, 5, 9, 6, 15, 16, 7]
9 | 0.042621 | [1012, 1012, 528, 524, 150, 189, 364, 742, 261] | [14, 10, 5, 9, 6, 15, 16, 7, 8]
10 | 0.042083 | [1012, 1012, 528, 524, 150, 189, 364, 743, 261, 1085] | [14, 10, 5, 9, 6, 15, 16, 7, 8, 1]
11 | 0.041991 | [1012, 1012, 528, 524, 150, 189, 364, 743, 262, 1085, 927] | [14, 10, 5, 9, 6, 15, 16, 7, 8, 2, 1]
