n_caps | min_Z | models | nodes
 0.069241 | [1014, 899] | [14, 10]
3 | 0.058462 | [1014, 898, 752] | [9, 10, 6]
4 | 0.053433 | [1014, 899, 752, 434] | [9, 10, 6, 14]
5 | 0.049120 | [1014, 899, 753, 434, 1439] | [9, 10, 5, 14, 6]
6 | 0.046598 | [1014, 898, 753, 434, 1439, 596] | [9, 10, 5, 14, 6, 15]
7 | 0.044982 | [1014, 899, 753, 434, 1439, 596, 412] | [9, 10, 5, 14, 6, 15, 7]
8 | 0.044228 | [1014, 899, 754, 434, 1439, 595, 412, 1396] | [9, 10, 5, 14, 6, 15, 7, 16]
9 | 0.043541 | [1014, 899, 754, 434, 1439, 595, 412, 1396, 164] | [9, 10, 5, 14, 6, 15, 7, 16, 8]
10 | 0.043452 | [1014, 899, 754, 434, 1439, 595, 412, 1396, 164, 2122] | [9, 10, 5, 14, 6, 15, 7, 16, 8, 2]
11 | 0.042911 | [1014, 899, 753, 434, 1439, 595, 412, 1396, 164, 2122, 1511] | [9, 10, 4, 15, 6, 14, 5, 16, 7, 2, 8]
12 | 0.042572 | [1014, 899, 753, 434, 1439, 595, 412, 1396, 164, 2122, 1511, 262] | [9, 10, 4, 15, 6, 14, 5, 16, 7, 2, 8, 11]
13 | 0.042466 | [1014, 899, 753, 434, 1439, 595, 412, 1395, 164, 2122, 1510, 262, 260] | [9, 10, 4, 15, 6, 14, 5, 16, 7, 2, 8, 11, 12]
14 | 0.042482 | [1014, 898, 753, 434, 1439, 595, 412, 1395, 164, 2122, 1510, 262, 260, 481] | [9, 10, 4, 14, 6, 15, 5, 16, 7, 2, 8, 11, 12, 13]
15 | 0.042393 | [1014, 898, 753, 434, 1439, 595, 412, 1396, 164, 2122, 1510, 262, 260, 481, 1367] | [9, 10, 4, 14, 6, 15, 5, 16, 7, 2, 8, 11, 12, 13, 18]
16 | 0.042354 | [1014, 898, 753, 434, 1439, 595, 412, 1396, 164, 2122, 1510, 262, 260, 481, 1367, 2472] | [9, 10, 4, 14, 5, 15, 6, 16, 7, 2, 8, 11, 12, 13, 18, 19]
17 | 0.042340 | [1014, 898, 753, 434, 1439, 596, 413, 1396, 164, 2122, 1510, 262, 261, 481, 1367, 2472, 1893] | [9, 10, 4, 14, 5, 15, 6, 16, 7, 2, 8, 11, 12, 13, 18, 19, 1]
18 | 0.042328 | [1014, 899, 753, 434, 1439, 595, 413, 1396, 164, 2122, 1510, 263, 261, 481, 1367, 2472, 1893, 1484] | [9, 10, 4, 14, 5, 15, 6, 16, 7, 2, 8, 11, 12, 13, 18, 19, 1, 20]
19 | 0.042324 | [1014, 898, 753, 434, 1439, 595, 413, 1396, 164, 2122, 1510, 262, 261, 481, 1367, 2472, 1893, 1485, 2789] | [9, 10, 4, 14, 5, 15, 6, 16, 7, 2, 8, 11, 12, 13, 18, 19, 3, 20, 1]
20 | 0.042391 | [1014, 898, 753, 434, 1439, 595, 413, 1396, 164, 2122, 1510, 262, 261, 481, 1367, 2472, 1893, 1485, 2789, 108] | [9, 10, 4, 14, 5, 15, 6, 16, 7, 2, 8, 11, 12, 13, 18, 19, 3, 20, 1, 17]
