2026-02-27 05:48:00,746 INFO: n_caps=1 | minZ=0.124076 | ports=[16] | stage_time=16.316
2026-02-27 05:48:30,075 INFO: n_caps=2 | minZ=0.092683 | ports=[15, 0] | stage_time=29.328
2026-02-27 05:49:12,480 INFO: n_caps=3 | minZ=0.068302 | ports=[0, 0, 0] | stage_time=42.404
2026-02-27 05:50:08,316 INFO: n_caps=4 | minZ=0.065156 | ports=[0, 0, 5, 7] | stage_time=55.835
2026-02-27 05:51:17,114 INFO: n_caps=5 | minZ=0.068584 | ports=[0, 5, 7, 9, 15] | stage_time=68.798
2026-02-27 05:52:39,017 INFO: n_caps=6 | minZ=0.065373 | ports=[0, 0, 10, 7, 13, 11] | stage_time=81.902
2026-02-27 05:54:13,695 INFO: n_caps=7 | minZ=0.065962 | ports=[0, 5, 5, 5, 17, 15, 19] | stage_time=94.678
2026-02-27 05:56:01,906 INFO: n_caps=8 | minZ=0.074723 | ports=[9, 8, 16, 0, 15, 4, 3, 11] | stage_time=108.210
2026-02-27 05:58:01,607 INFO: n_caps=9 | minZ=0.065437 | ports=[5, 0, 14, 6, 11, 7, 3, 10, 14] | stage_time=119.700
2026-02-27 06:00:13,917 INFO: n_caps=10 | minZ=0.059479 | ports=[0, 14, 6, 11, 7, 3, 10, 14, 8, 0] | stage_time=132.310
