n_caps | min_Z | models | nodes
0.064766 | [1014, 1012] | [9, 10]
3 | 0.059499 | [1014, 1012, 1512] | [9, 10, 15]
4 | 0.051260 | [1014, 1012, 1512, 512] | [9, 10, 15, 14]
5 | 0.049354 | [1014, 1012, 1512, 512, 744] | [9, 10, 15, 14, 5]
6 | 0.044987 | [1014, 1012, 1511, 512, 744, 237] | [9, 10, 15, 14, 5, 6]
7 | 0.043789 | [1014, 1012, 1511, 512, 743, 237, 92] | [9, 10, 15, 14, 5, 6, 7]
8 | 0.043215 | [1014, 1012, 1511, 512, 743, 237, 92, 145] | [9, 10, 15, 14, 5, 6, 7, 16]
9 | 0.042947 | [1014, 1012, 1512, 512, 743, 238, 92, 145, 1182] | [9, 10, 16, 14, 5, 6, 7, 15, 2]
10 | 0.042801 | [1014, 1012, 1511, 512, 743, 238, 92, 145, 1182, 40] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11]
11 | 0.042763 | [1014, 1012, 1512, 512, 743, 237, 92, 145, 1182, 40, 4] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 12]
12 | 0.042520 | [1014, 1012, 1511, 512, 743, 237, 92, 145, 1182, 40, 4, 62] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 12, 13]
13 | 0.042427 | [1014, 1012, 1511, 511, 743, 238, 92, 145, 1182, 40, 4, 62, 1497] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 13, 8, 1]
14 | 0.042303 | [1014, 1012, 1511, 512, 742, 237, 92, 145, 1182, 40, 4, 62, 1497, 33] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 13, 8, 1, 17]
15 | 0.042316 | [1014, 1012, 1511, 512, 742, 237, 92, 145, 1182, 40, 4, 62, 1497, 33, 254] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 13, 8, 1, 17, 18]
16 | 0.042385 | [1014, 1012, 1511, 512, 742, 237, 92, 145, 1182, 40, 4, 62, 1497, 33, 254, 2255] | [9, 10, 16, 14, 5, 6, 7, 15, 2, 11, 13, 8, 1, 17, 18, 19]
17 | 0.042303 | [1014, 1012, 1511, 512, 742, 237, 92, 145, 1182, 40, 4, 62, 1497, 33, 254, 2255, 110] | [9, 10, 16, 14, 5, 6, 7, 15, 3, 11, 13, 8, 1, 17, 18, 19, 2]
18 | 0.042303 | [1014, 1012, 1512, 512, 742, 237, 92, 145, 1183, 40, 5, 62, 1497, 33, 254, 2255, 110, 14] | [9, 10, 16, 14, 5, 6, 7, 15, 3, 11, 13, 8, 1, 17, 18, 19, 2, 20]
19 | 0.042285 | [1014, 1012, 1512, 512, 743, 238, 92, 145, 1183, 40, 5, 62, 1497, 33, 254, 2255, 109, 14, 244] | [9, 10, 16, 14, 5, 6, 7, 15, 3, 11, 13, 8, 4, 17, 18, 19, 2, 20, 1]
20 | 0.042211 | [1014, 1012, 1512, 512, 743, 238, 92, 145, 1183, 40, 3, 62, 1497, 33, 254, 2255, 109, 14, 244, 29] | [9, 10, 16, 14, 5, 6, 7, 15, 3, 11, 13, 8, 4, 17, 18, 19, 2, 20, 1, 12]
