n_caps | min_Z | models | nodes
 0.075026 | [1012, 2009] | [9, 7]
3 | 0.061933 | [1012, 2008, 1170] | [9, 6, 10]
4 | 0.057125 | [1012, 2008, 1170, 975] | [9, 6, 10, 14]
5 | 0.054332 | [1012, 2008, 1170, 976, 934] | [9, 7, 10, 14, 15]
6 | 0.051512 | [1012, 2008, 1169, 976, 934, 586] | [9, 7, 10, 14, 15, 6]
7 | 0.049719 | [1012, 2008, 1169, 975, 934, 587, 765] | [9, 7, 10, 14, 15, 6, 16]
8 | 0.048291 | [1012, 2008, 1169, 975, 934, 587, 765, 848] | [9, 7, 10, 14, 15, 6, 16, 5]
9 | 0.047092 | [1012, 2008, 1169, 975, 934, 587, 764, 848, 247] | [9, 7, 10, 14, 15, 6, 16, 5, 8]
10 | 0.046845 | [1012, 2008, 1170, 975, 934, 587, 765, 849, 247, 579] | [9, 7, 10, 14, 15, 5, 16, 6, 8, 18]
11 | 0.046119 | [1012, 2008, 1169, 975, 934, 587, 765, 848, 248, 579, 171] | [9, 8, 10, 14, 15, 6, 16, 5, 7, 18, 11]
12 | 0.046017 | [1012, 2008, 1169, 975, 934, 587, 765, 848, 248, 579, 171, 1496] | [9, 8, 10, 14, 15, 6, 16, 5, 7, 18, 11, 2]
13 | 0.045617 | [1012, 2008, 1169, 975, 934, 586, 765, 848, 248, 579, 171, 1496, 936] | [9, 8, 10, 14, 15, 6, 16, 5, 7, 18, 11, 2, 1]
14 | 0.045443 | [1013, 2009, 1169, 975, 935, 586, 765, 848, 248, 580, 171, 1496, 936, 511] | [9, 8, 10, 14, 15, 5, 16, 6, 7, 18, 11, 2, 1, 12]
15 | 0.045345 | [1012, 2008, 1169, 976, 935, 586, 765, 848, 248, 579, 171, 1496, 935, 511, 55] | [9, 8, 10, 14, 15, 5, 16, 6, 7, 18, 11, 2, 1, 12, 13]
16 | 0.044996 | [1012, 2008, 1169, 976, 934, 586, 765, 848, 247, 579, 171, 1496, 935, 511, 56, 685] | [9, 8, 10, 14, 15, 5, 17, 6, 7, 18, 11, 2, 1, 12, 13, 16]
17 | 0.044994 | [1012, 2008, 1169, 976, 934, 586, 765, 848, 247, 579, 171, 1496, 935, 510, 55, 685, 3237] | [9, 8, 10, 14, 15, 5, 17, 6, 7, 18, 11, 2, 1, 12, 13, 16, 19]
18 | 0.044516 | [1012, 2008, 1169, 976, 934, 586, 765, 849, 248, 580, 171, 1495, 935, 510, 55, 685, 3237, 1638] | [9, 8, 11, 15, 16, 5, 17, 6, 7, 18, 10, 2, 1, 12, 13, 14, 19, 20]
19 | 0.044507 | [1012, 2008, 1169, 976, 935, 586, 765, 848, 248, 581, 171, 1495, 935, 510, 55, 685, 3237, 1638, 210] | [9, 8, 12, 15, 16, 5, 17, 6, 7, 18, 10, 2, 1, 11, 13, 14, 19, 20, 3]
20 | 0.044508 | [1012, 2008, 1169, 976, 935, 586, 765, 848, 248, 581, 171, 1495, 935, 510, 55, 685, 3237, 1638, 210, 879] | [9, 8, 12, 15, 16, 5, 17, 6, 7, 18, 10, 2, 1, 11, 13, 14, 19, 20, 3, 4]
