2026-01-11 07:42:38,114 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-11 07:46:28,972 INFO: n_caps=2 | minZ=0.064766 | models=[1012, 1012] | nodes=[9, 10]
2026-01-11 07:50:00,081 INFO: n_caps=3 | minZ=0.053863 | models=[1012, 1012, 528] | nodes=[9, 10, 14]
2026-01-11 07:53:43,313 INFO: n_caps=4 | minZ=0.050303 | models=[1012, 1012, 528, 342] | nodes=[9, 10, 14, 5]
2026-01-11 07:57:12,383 INFO: n_caps=5 | minZ=0.047176 | models=[1012, 1012, 528, 342, 171] | nodes=[9, 10, 14, 5, 15]
2026-01-11 08:00:41,108 INFO: n_caps=6 | minZ=0.045346 | models=[1012, 1012, 528, 342, 171, 365] | nodes=[9, 10, 14, 5, 15, 7]
2026-01-11 08:04:23,025 INFO: n_caps=7 | minZ=0.043666 | models=[1012, 1012, 528, 342, 171, 365, 110] | nodes=[9, 10, 14, 5, 15, 7, 6]
2026-01-11 08:08:15,482 INFO: n_caps=8 | minZ=0.042046 | models=[1012, 1012, 527, 342, 171, 365, 110, 189] | nodes=[9, 10, 14, 5, 15, 7, 6, 16]
2026-01-11 08:11:53,757 INFO: n_caps=9 | minZ=0.041499 | models=[1012, 1012, 528, 342, 171, 365, 110, 189, 222] | nodes=[9, 10, 14, 5, 15, 7, 6, 16, 8]
2026-01-11 08:11:53,758 INFO: Threshold reached at n_caps=9
