n_caps | min_Z | models | nodes
0.064766 | [1014, 1012] | [9, 10]
3 | 0.054175 | [1014, 1012, 511] | [9, 10, 5]
4 | 0.050752 | [1014, 1012, 511, 433] | [9, 10, 5, 15]
5 | 0.048348 | [1014, 1012, 511, 434, 365] | [9, 10, 5, 15, 6]
6 | 0.046497 | [1014, 1012, 511, 434, 365, 214] | [9, 10, 5, 14, 6, 7]
7 | 0.044136 | [1014, 1012, 511, 434, 365, 215, 174] | [9, 10, 5, 14, 6, 7, 15]
8 | 0.042984 | [1014, 1012, 512, 434, 365, 215, 174, 341] | [10, 9, 5, 14, 6, 7, 15, 16]
9 | 0.042462 | [1014, 1012, 512, 434, 364, 215, 174, 341, 1512] | [10, 8, 5, 14, 6, 7, 15, 16, 9]
10 | 0.042203 | [1014, 1012, 512, 434, 364, 215, 174, 341, 1512, 231] | [9, 8, 5, 14, 4, 6, 15, 16, 10, 7]
11 | 0.041221 | [1014, 1012, 512, 434, 365, 215, 174, 342, 1512, 231, 499] | [9, 8, 5, 14, 4, 6, 15, 16, 10, 7, 17]
