n_caps | min_Z | models | nodes
.084657 | [1007, 1243] | [10, 9]
3 | 0.070585 | [1511, 1226, 898] | [10, 14, 5]
4 | 0.058230 | [1511, 1226, 898, 686] | [10, 14, 5, 15]
5 | 0.054172 | [1511, 1226, 898, 686, 440] | [10, 14, 5, 16, 7]
6 | 0.050030 | [1511, 1226, 898, 686, 440, 455] | [10, 14, 5, 16, 7, 6]
7 | 0.045523 | [1511, 1226, 898, 686, 440, 455, 1045] | [10, 14, 5, 16, 7, 6, 9]
8 | 0.045290 | [1511, 1226, 898, 686, 440, 455, 1045, 201] | [10, 14, 5, 16, 7, 6, 9, 11]
9 | 0.044230 | [1511, 1225, 898, 686, 440, 455, 1045, 201, 893] | [10, 14, 5, 16, 7, 6, 9, 11, 15]
10 | 0.043028 | [1511, 1226, 898, 686, 440, 455, 1045, 201, 893, 1201] | [10, 13, 5, 16, 7, 6, 9, 11, 14, 15]
11 | 0.042081 | [1512, 1226, 898, 686, 440, 455, 1045, 201, 893, 1202, 238] | [10, 13, 5, 16, 7, 6, 9, 11, 14, 15, 8]
12 | 0.041951 | [1512, 1226, 898, 686, 440, 455, 1045, 201, 893, 1202, 238, 2006] | [10, 13, 6, 16, 7, 5, 9, 11, 14, 15, 8, 2]
