2026-02-28 15:42:14,048 INFO: n_caps=1 | minZ=0.080251 | placement={0: 1012}
2026-02-28 15:42:31,419 INFO: n_caps=2 | minZ=0.053595 | placement={0: 1014, 9: 1448}
2026-02-28 15:42:49,273 INFO: n_caps=3 | minZ=0.067782 | placement={9: 1014, 0: 1448, 7: 0}
2026-02-28 15:43:07,605 INFO: n_caps=4 | minZ=0.047823 | placement={0: 1014, 7: 1446, 6: 0, 10: 1544}
2026-02-28 15:43:26,511 INFO: n_caps=5 | minZ=0.052133 | placement={15: 1203, 10: 1494, 9: 366, 0: 1866, 14: 110}
2026-02-28 15:43:45,828 INFO: n_caps=6 | minZ=0.055405 | placement={10: 1203, 9: 1494, 0: 366, 14: 1866, 7: 110, 2: 2624}
2026-02-28 15:44:05,596 INFO: n_caps=7 | minZ=0.053190 | placement={9: 1203, 0: 1494, 14: 366, 7: 1866, 2: 110, 1: 2624, 10: 1719}
2026-02-28 15:44:25,900 INFO: n_caps=8 | minZ=0.050190 | placement={0: 1014, 14: 897, 1: 807, 2: 917, 3: 0, 4: 3280, 9: 1710, 20: 3240}
2026-02-28 15:44:46,632 INFO: n_caps=9 | minZ=0.057764 | placement={10: 605, 7: 2205, 0: 2381, 15: 2865, 5: 867, 6: 3347, 11: 694, 20: 3347, 9: 344}
2026-02-28 15:45:07,841 INFO: n_caps=10 | minZ=0.050656 | placement={5: 509, 0: 2087, 12: 2347, 6: 1340, 7: 513, 1: 3347, 20: 1059, 9: 673, 15: 1605, 4: 990}
2026-02-28 15:45:29,468 INFO: n_caps=11 | minZ=0.044101 | placement={0: 1014, 13: 1995, 6: 2658, 7: 1597, 1: 0, 16: 3347, 10: 1104, 12: 0, 3: 1904, 14: 630, 11: 952}
