n_caps | min_Z | models | nodes
0.067602 | [1014, 898] | [9, 15]
3 | 0.059650 | [1012, 898, 1344] | [9, 15, 10]
4 | 0.053249 | [1012, 527, 1344, 1660] | [9, 15, 10, 6]
5 | 0.049770 | [1012, 686, 1344, 1654, 455] | [9, 15, 10, 7, 5]
6 | 0.045630 | [1012, 685, 1305, 1655, 456, 433] | [9, 15, 10, 7, 5, 14]
7 | 0.044249 | [1012, 685, 1305, 1654, 456, 433, 412] | [9, 15, 10, 6, 5, 14, 7]
8 | 0.043295 | [1012, 685, 1305, 1655, 456, 433, 412, 116] | [9, 15, 10, 6, 5, 14, 7, 16]
9 | 0.042559 | [1012, 685, 1305, 1655, 456, 434, 413, 116, 163] | [9, 15, 10, 7, 5, 14, 6, 16, 8]
10 | 0.042032 | [1012, 685, 1305, 1655, 456, 433, 413, 116, 163, 1565] | [9, 15, 8, 6, 5, 14, 7, 16, 10, 11]
11 | 0.041949 | [1012, 685, 1304, 1655, 456, 433, 413, 116, 163, 1565, 175] | [9, 15, 8, 6, 5, 14, 7, 16, 10, 11, 12]
