2026-01-09 22:14:03,018 INFO: n_caps=1 | minZ=0.087365 | models=[1014] | nodes=[9]
2026-01-09 22:15:02,538 INFO: n_caps=2 | minZ=0.067602 | models=[1014, 898] | nodes=[9, 15]
2026-01-09 22:15:57,602 INFO: n_caps=3 | minZ=0.059650 | models=[1012, 898, 1344] | nodes=[9, 15, 10]
2026-01-09 22:17:01,337 INFO: n_caps=4 | minZ=0.053249 | models=[1012, 527, 1344, 1660] | nodes=[9, 15, 10, 6]
2026-01-09 22:18:00,468 INFO: n_caps=5 | minZ=0.049770 | models=[1012, 686, 1344, 1654, 455] | nodes=[9, 15, 10, 7, 5]
2026-01-09 22:18:56,686 INFO: n_caps=6 | minZ=0.045630 | models=[1012, 685, 1305, 1655, 456, 433] | nodes=[9, 15, 10, 7, 5, 14]
2026-01-09 22:19:54,928 INFO: n_caps=7 | minZ=0.044249 | models=[1012, 685, 1305, 1654, 456, 433, 412] | nodes=[9, 15, 10, 6, 5, 14, 7]
2026-01-09 22:20:52,093 INFO: n_caps=8 | minZ=0.043295 | models=[1012, 685, 1305, 1655, 456, 433, 412, 116] | nodes=[9, 15, 10, 6, 5, 14, 7, 16]
2026-01-09 22:21:46,895 INFO: n_caps=9 | minZ=0.042559 | models=[1012, 685, 1305, 1655, 456, 434, 413, 116, 163] | nodes=[9, 15, 10, 7, 5, 14, 6, 16, 8]
2026-01-09 22:22:45,687 INFO: n_caps=10 | minZ=0.042032 | models=[1012, 685, 1305, 1655, 456, 433, 413, 116, 163, 1565] | nodes=[9, 15, 8, 6, 5, 14, 7, 16, 10, 11]
2026-01-09 22:23:43,141 INFO: n_caps=11 | minZ=0.041949 | models=[1012, 685, 1304, 1655, 456, 433, 413, 116, 163, 1565, 175] | nodes=[9, 15, 8, 6, 5, 14, 7, 16, 10, 11, 12]
2026-01-09 22:23:43,142 INFO: Threshold reached at n_caps=11
