n_caps | min_Z | models | nodes
 0.076684 | [1012, 1121] | [15, 14]
3 | 0.062669 | [1012, 1121, 618] | [16, 14, 6]
4 | 0.056658 | [1012, 1120, 617, 610] | [16, 14, 6, 5]
5 | 0.053211 | [1012, 1120, 616, 610, 596] | [16, 14, 6, 5, 7]
6 | 0.049495 | [1012, 1120, 616, 610, 596, 448] | [15, 16, 7, 5, 6, 9]
7 | 0.046360 | [1012, 1120, 616, 610, 596, 448, 893] | [15, 16, 6, 7, 5, 10, 9]
8 | 0.044894 | [1012, 1122, 616, 609, 595, 448, 893, 1902] | [15, 14, 6, 7, 5, 9, 10, 2]
9 | 0.043950 | [1012, 1123, 616, 608, 596, 448, 893, 1902, 456] | [15, 14, 6, 7, 5, 9, 10, 2, 16]
10 | 0.043358 | [1012, 1122, 616, 608, 596, 447, 893, 1902, 456, 260] | [15, 14, 7, 6, 5, 8, 9, 1, 16, 10]
11 | 0.042527 | [1012, 1122, 616, 607, 596, 447, 893, 1902, 456, 260, 1109] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13]
12 | 0.042431 | [1012, 1122, 616, 607, 596, 447, 893, 1902, 455, 260, 1108, 566] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2]
13 | 0.042373 | [1012, 1122, 616, 607, 596, 447, 893, 1902, 455, 260, 1108, 566, 244] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2, 11]
14 | 0.042025 | [1012, 1122, 616, 607, 596, 446, 892, 1901, 455, 260, 1108, 565, 244, 1100] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2, 11, 3]
15 | 0.042028 | [1012, 1122, 616, 607, 596, 446, 892, 1901, 455, 260, 1108, 565, 244, 1100, 345] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2, 11, 3, 4]
16 | 0.042040 | [1012, 1122, 616, 607, 596, 446, 892, 1901, 455, 260, 1108, 565, 244, 1100, 345, 108] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2, 11, 3, 4, 12]
17 | 0.041998 | [1012, 1122, 616, 607, 596, 446, 892, 1901, 455, 260, 1108, 565, 244, 1100, 345, 108, 73] | [14, 16, 6, 7, 5, 8, 9, 1, 15, 10, 13, 2, 11, 3, 4, 12, 17]
