2026-01-18 09:57:26,216 INFO: n_caps=1 | minZ=0.087365 | models=[1012] | nodes=[9]
2026-01-18 09:59:51,256 INFO: n_caps=2 | minZ=0.064766 | models=[1012, 1012] | nodes=[9, 10]
2026-01-18 10:02:17,115 INFO: n_caps=3 | minZ=0.054175 | models=[1012, 1012, 511] | nodes=[9, 10, 5]
2026-01-18 10:04:51,174 INFO: n_caps=4 | minZ=0.051227 | models=[1012, 1012, 512, 341] | nodes=[9, 10, 5, 6]
2026-01-18 10:07:20,464 INFO: n_caps=5 | minZ=0.048152 | models=[1012, 1012, 512, 341, 447] | nodes=[9, 10, 5, 6, 14]
2026-01-18 10:09:48,645 INFO: n_caps=6 | minZ=0.046027 | models=[1012, 1012, 512, 341, 448, 184] | nodes=[9, 10, 5, 6, 14, 15]
2026-01-18 10:12:24,360 INFO: n_caps=7 | minZ=0.044066 | models=[1012, 1012, 512, 341, 448, 184, 116] | nodes=[9, 10, 5, 6, 14, 15, 7]
2026-01-18 10:14:52,405 INFO: n_caps=8 | minZ=0.042678 | models=[1012, 1012, 511, 341, 448, 184, 116, 221] | nodes=[9, 10, 5, 6, 14, 16, 7, 15]
2026-01-18 10:17:26,155 INFO: n_caps=9 | minZ=0.042019 | models=[1012, 1012, 510, 342, 448, 184, 116, 221, 923] | nodes=[10, 11, 6, 5, 14, 15, 7, 16, 9]
2026-01-18 10:20:10,520 INFO: n_caps=10 | minZ=0.041775 | models=[1012, 1012, 510, 342, 448, 184, 116, 221, 923, 1953] | nodes=[8, 10, 5, 6, 14, 16, 7, 15, 9, 2]
2026-01-18 10:20:10,521 INFO: Threshold reached at n_caps=10
