2026-02-28 20:29:49,014 INFO: n_caps=1 | minZ=0.096613 | placement={14: 1014}
2026-02-28 20:30:28,935 INFO: n_caps=2 | minZ=0.057301 | placement={0: 1014, 6: 2388}
2026-02-28 20:31:10,014 INFO: n_caps=3 | minZ=0.076591 | placement={6: 978, 0: 2420, 5: 11}
2026-02-28 20:31:52,265 INFO: n_caps=4 | minZ=0.063744 | placement={0: 1845, 1: 3347, 16: 678, 6: 484}
2026-02-28 20:32:35,569 INFO: n_caps=5 | minZ=0.053948 | placement={0: 1881, 14: 1774, 7: 581, 10: 433, 3: 738}
2026-02-28 20:33:19,434 INFO: n_caps=6 | minZ=0.054659 | placement={14: 1935, 7: 823, 16: 617, 0: 1016, 9: 1060, 15: 3347}
2026-02-28 20:34:04,968 INFO: n_caps=7 | minZ=0.050971 | placement={7: 1935, 16: 823, 0: 617, 9: 1016, 15: 1060, 14: 3347, 5: 2487}
2026-02-28 20:34:51,395 INFO: n_caps=8 | minZ=0.048519 | placement={16: 1935, 0: 823, 9: 617, 15: 1016, 14: 1060, 5: 3347, 6: 2487, 10: 1261}
2026-02-28 20:35:38,769 INFO: n_caps=9 | minZ=0.048908 | placement={0: 1935, 9: 823, 15: 617, 14: 1016, 5: 1060, 6: 3347, 10: 2487, 7: 1261, 2: 2697}
2026-02-28 20:36:26,628 INFO: n_caps=10 | minZ=0.053577 | placement={9: 1935, 15: 823, 14: 617, 5: 1016, 6: 1060, 10: 3347, 7: 2487, 2: 1261, 0: 2697, 16: 0}
2026-02-28 20:37:15,036 INFO: n_caps=11 | minZ=0.047893 | placement={16: 1875, 14: 844, 6: 596, 5: 1112, 9: 1066, 7: 3347, 2: 2474, 0: 1314, 17: 2702, 8: 0, 10: 1651}
2026-02-28 20:38:07,267 INFO: n_caps=12 | minZ=0.049816 | placement={12: 1824, 6: 878, 7: 447, 9: 898, 5: 724, 2: 3347, 0: 1853, 17: 1818, 10: 2607, 11: 0, 15: 1507, 8: 2426}
2026-02-28 20:38:57,635 INFO: n_caps=13 | minZ=0.049750 | placement={6: 1820, 10: 422, 8: 505, 7: 447, 4: 1781, 0: 2566, 18: 2673, 9: 1694, 17: 2503, 16: 213, 5: 1029, 11: 1713, 3: 1377}
2026-02-28 20:39:47,398 INFO: n_caps=14 | minZ=0.046691 | placement={13: 750, 16: 1826, 12: 1570, 5: 472, 0: 1873, 6: 1080, 11: 2588, 19: 1677, 14: 510, 7: 605, 10: 964, 3: 1530, 9: 1542, 15: 1181}
2026-02-28 20:40:37,667 INFO: n_caps=15 | minZ=0.044892 | placement={16: 763, 12: 1852, 5: 1584, 0: 344, 6: 1738, 11: 1068, 19: 2579, 13: 1677, 9: 452, 10: 528, 2: 970, 15: 1541, 17: 1475, 14: 1154, 1: 2182}
