2026-01-11 15:49:58,034 INFO: n_caps=1 | minZ=0.089878 | models=[1014] | nodes=[10]
2026-01-11 15:50:25,865 INFO: n_caps=2 | minZ=0.068879 | models=[1012, 1012] | nodes=[10, 16]
2026-01-11 15:50:53,408 INFO: n_caps=3 | minZ=0.058689 | models=[1012, 1012, 509] | nodes=[10, 16, 7]
2026-01-11 15:51:19,586 INFO: n_caps=4 | minZ=0.054188 | models=[1012, 1012, 509, 92] | nodes=[10, 16, 6, 14]
2026-01-11 15:51:47,303 INFO: n_caps=5 | minZ=0.050102 | models=[1012, 1012, 509, 92, 745] | nodes=[10, 16, 5, 14, 9]
2026-01-11 15:52:13,894 INFO: n_caps=6 | minZ=0.047261 | models=[1012, 1012, 509, 91, 745, 171] | nodes=[10, 16, 5, 15, 9, 7]
2026-01-11 15:52:41,943 INFO: n_caps=7 | minZ=0.044744 | models=[1012, 1012, 509, 91, 745, 171, 248] | nodes=[10, 16, 5, 15, 9, 7, 6]
2026-01-11 15:53:09,838 INFO: n_caps=8 | minZ=0.042290 | models=[1012, 1012, 509, 91, 745, 171, 248, 679] | nodes=[10, 16, 5, 15, 9, 6, 7, 14]
2026-01-11 15:53:39,398 INFO: n_caps=9 | minZ=0.041991 | models=[1012, 1012, 509, 91, 745, 171, 248, 679, 184] | nodes=[10, 16, 5, 15, 9, 6, 7, 14, 17]
2026-01-11 15:53:39,399 INFO: Threshold reached at n_caps=9
