n_caps | min_Z | models | nodes
0.082517 | [972, 999] | [14, 10]
3 | 0.070618 | [972, 999, 1044] | [14, 10, 15]
4 | 0.064548 | [972, 999, 1044, 1565] | [14, 10, 15, 9]
5 | 0.054844 | [972, 999, 1044, 1565, 509] | [14, 10, 15, 9, 16]
6 | 0.053472 | [972, 999, 1044, 1565, 509, 1298] | [14, 10, 15, 9, 16, 7]
7 | 0.051981 | [972, 999, 1045, 1564, 509, 1298, 1269] | [14, 10, 15, 9, 16, 7, 5]
8 | 0.049504 | [972, 1000, 1045, 1565, 509, 1299, 1270, 144] | [15, 10, 16, 9, 14, 7, 5, 6]
9 | 0.047098 | [972, 1000, 1045, 1565, 509, 1299, 1269, 144, 686] | [15, 11, 16, 9, 14, 7, 6, 5, 10]
10 | 0.046933 | [972, 999, 1045, 1565, 509, 1298, 1269, 144, 685, 1535] | [15, 11, 16, 9, 14, 7, 6, 5, 10, 2]
11 | 0.046656 | [972, 1000, 1045, 1566, 510, 1298, 1269, 145, 685, 1535, 893] | [16, 11, 15, 9, 14, 7, 5, 6, 10, 2, 8]
12 | 0.045245 | [972, 1000, 1045, 1566, 509, 1298, 1269, 145, 685, 1535, 893, 1584] | [16, 11, 15, 8, 14, 7, 5, 6, 10, 2, 9, 12]
13 | 0.045044 | [972, 999, 1045, 1566, 509, 1298, 1269, 145, 685, 1535, 893, 1584, 232] | [16, 11, 15, 8, 14, 7, 5, 6, 9, 2, 10, 12, 13]
14 | 0.044304 | [972, 999, 1045, 1566, 509, 1298, 1269, 144, 686, 1535, 893, 1584, 232, 493] | [17, 11, 15, 8, 14, 7, 5, 6, 9, 2, 10, 12, 13, 16]
15 | 0.044291 | [972, 999, 1045, 1566, 509, 1298, 1269, 144, 686, 1535, 893, 1584, 232, 493, 2891] | [17, 11, 15, 8, 14, 7, 5, 6, 9, 2, 10, 12, 13, 16, 1]
16 | 0.044294 | [972, 999, 1045, 1566, 509, 1298, 1269, 144, 686, 1535, 893, 1584, 232, 493, 2891, 475] | [17, 11, 15, 8, 14, 7, 5, 6, 9, 2, 10, 12, 13, 16, 1, 18]
17 | 0.044295 | [971, 999, 1044, 1566, 509, 1298, 1269, 144, 685, 1535, 893, 1582, 231, 493, 2891, 475, 2415] | [17, 11, 15, 8, 14, 7, 5, 6, 9, 2, 10, 12, 13, 16, 1, 18, 19]
18 | 0.044077 | [970, 1000, 1044, 1566, 509, 1299, 1269, 146, 685, 1538, 892, 1582, 231, 493, 2891, 474, 2415, 504] | [17, 12, 15, 8, 14, 6, 5, 7, 9, 2, 10, 11, 13, 16, 18, 19, 20, 1]
19 | 0.044077 | [970, 1000, 1044, 1566, 509, 1299, 1269, 146, 685, 1538, 892, 1582, 231, 493, 2891, 474, 2415, 504, 122] | [17, 12, 15, 8, 14, 6, 5, 7, 9, 2, 10, 11, 13, 16, 18, 19, 20, 1, 3]
20 | 0.044076 | [970, 999, 1044, 1566, 509, 1299, 1270, 146, 685, 1537, 892, 1582, 231, 493, 2891, 475, 2415, 504, 122, 543] | [17, 12, 15, 8, 14, 6, 5, 7, 9, 2, 10, 11, 13, 16, 18, 19, 20, 1, 3, 4]
